accession	gene_id	status
P00001	ENSG00000001	reviewed
P00002	ENSG00000002	reviewed
P00003	ENSG00000003	reviewed
P00004	ENSG00000004	reviewed
P00005	ENSG00000005	reviewed
P00006	ENSG00000006	reviewed
P00007	ENSG00000007	reviewed
P00008	ENSG00000008	reviewed
P00009	ENSG00000009	reviewed
P00010	ENSG00000010	reviewed
P00011	ENSG00000011	reviewed
P00012	ENSG00000012	reviewed
P00013	ENSG00000013	reviewed
P00014	ENSG00000014	reviewed
P00015	ENSG00000015	reviewed
P00016	ENSG00000016	reviewed
P00017	ENSG00000017	reviewed
P00018	ENSG00000018	reviewed
P00019	ENSG00000019	reviewed
P00020	ENSG00000020	reviewed
P00021	ENSG00000021	reviewed
P00022	ENSG00000022	reviewed
P00023	ENSG00000023	reviewed
P00024	ENSG00000024	reviewed
P00025	ENSG00000025	reviewed
P00026	ENSG00000026	reviewed
P00027	ENSG00000027	reviewed
P00028	ENSG00000028	reviewed
P00029	ENSG00000029	reviewed
P00030	ENSG00000030	reviewed
P00031	ENSG00000031	reviewed
P00032	ENSG00000032	reviewed
P00033	ENSG00000033	reviewed
P00034	ENSG00000034	reviewed
P00035	ENSG00000035	reviewed
P00036	ENSG00000036	reviewed
P00037	ENSG00000037	reviewed
P00038	ENSG00000038	reviewed
P00039	ENSG00000039	reviewed
P00040	ENSG00000040	reviewed
P00041	ENSG00000041	reviewed
P00042	ENSG00000042	reviewed
P00043	ENSG00000043	reviewed
P00044	ENSG00000044	reviewed
P00045	ENSG00000045	reviewed
P00046	ENSG00000046	reviewed
P00047	ENSG00000047	reviewed
P00048	ENSG00000048	reviewed
P00049	ENSG00000049	reviewed
P00050	ENSG00000050	reviewed
P00051	ENSG00000051	reviewed
P00052	ENSG00000052	reviewed
P00053	ENSG00000053	reviewed
P00054	ENSG00000054	reviewed
P00055	ENSG00000055	reviewed
P00056	ENSG00000056	reviewed
P00057	ENSG00000057	reviewed
P00058	ENSG00000058	reviewed
P00059	ENSG00000059	reviewed
P00060	ENSG00000060	reviewed
P00061	ENSG00000061	reviewed
P00062	ENSG00000062	reviewed
P00063	ENSG00000063	reviewed
P00064	ENSG00000064	reviewed
P00065	ENSG00000065	reviewed
P00066	ENSG00000066	reviewed
P00067	ENSG00000067	reviewed
P00068	ENSG00000068	reviewed
P00069	ENSG00000069	reviewed
P00070	ENSG00000070	reviewed
P00071	ENSG00000071	reviewed
P00072	ENSG00000072	reviewed
P00073	ENSG00000073	reviewed
P00074	ENSG00000074	reviewed
P00075	ENSG00000075	reviewed
P00076	ENSG00000076	reviewed
P00077	ENSG00000077	reviewed
P00078	ENSG00000078	reviewed
P00079	ENSG00000079	reviewed
P00080	ENSG00000080	reviewed
P00081	ENSG00000081	reviewed
P00082	ENSG00000082	reviewed
P00083	ENSG00000083	reviewed
P00084	ENSG00000084	reviewed
P00085	ENSG00000085	reviewed
P00086	ENSG00000086	reviewed
P00087	ENSG00000087	reviewed
P00088	ENSG00000088	reviewed
P00089	ENSG00000089	reviewed
P00090	ENSG00000090	reviewed
P00091	ENSG00000091	reviewed
P00092	ENSG00000092	reviewed
P00093	ENSG00000093	reviewed
P00094	ENSG00000094	reviewed
P00095	ENSG00000095	reviewed
P00096	ENSG00000096	reviewed
P00097	ENSG00000097	reviewed
P00098	ENSG00000098	reviewed
P00099	ENSG00000099	reviewed
P00100	ENSG00000100	reviewed
P00101	ENSG00000101	reviewed
P00102	ENSG00000102	reviewed
P00103	ENSG00000103	reviewed
P00104	ENSG00000104	reviewed
P00105	ENSG00000105	reviewed
P00106	ENSG00000106	reviewed
P00107	ENSG00000107	reviewed
P00108	ENSG00000108	reviewed
P00109	ENSG00000109	reviewed
P00110	ENSG00000110	reviewed
P00111	ENSG00000111	reviewed
P00112	ENSG00000112	reviewed
P00113	ENSG00000113	reviewed
P00114	ENSG00000114	reviewed
P00115	ENSG00000115	reviewed
P00116	ENSG00000116	reviewed
P00117	ENSG00000117	reviewed
P00118	ENSG00000118	reviewed
P00119	ENSG00000119	reviewed
P00120	ENSG00000120	reviewed
P00121	ENSG00000121	reviewed
P00122	ENSG00000122	reviewed
P00123	ENSG00000123	reviewed
P00124	ENSG00000124	reviewed
P00125	ENSG00000125	reviewed
P00126	ENSG00000126	reviewed
P00127	ENSG00000127	reviewed
P00128	ENSG00000128	reviewed
P00129	ENSG00000129	reviewed
P00130	ENSG00000130	reviewed
P00131	ENSG00000131	reviewed
P00132	ENSG00000132	reviewed
P00133	ENSG00000133	reviewed
P00134	ENSG00000134	reviewed
P00135	ENSG00000135	reviewed
P00136	ENSG00000136	reviewed
P00137	ENSG00000137	reviewed
P00138	ENSG00000138	reviewed
P00139	ENSG00000139	reviewed
P00140	ENSG00000140	reviewed
P00141	ENSG00000141	reviewed
P00142	ENSG00000142	reviewed
P00143	ENSG00000143	reviewed
P00144	ENSG00000144	reviewed
P00145	ENSG00000145	reviewed
P00146	ENSG00000146	reviewed
P00147	ENSG00000147	reviewed
P00148	ENSG00000148	reviewed
P00149	ENSG00000149	reviewed
P00150	ENSG00000150	reviewed
P00151	ENSG00000151	reviewed
P00152	ENSG00000152	reviewed
P00153	ENSG00000153	reviewed
P00154	ENSG00000154	reviewed
P00155	ENSG00000155	reviewed
P00156	ENSG00000156	reviewed
P00157	ENSG00000157	reviewed
P00158	ENSG00000158	reviewed
P00159	ENSG00000159	reviewed
P00160	ENSG00000160	reviewed
P00161	ENSG00000161	reviewed
P00162	ENSG00000162	reviewed
P00163	ENSG00000163	reviewed
P00164	ENSG00000164	reviewed
P00165	ENSG00000165	reviewed
P00166	ENSG00000166	reviewed
P00167	ENSG00000167	reviewed
P00168	ENSG00000168	reviewed
P00169	ENSG00000169	reviewed
P00170	ENSG00000170	reviewed
P00171	ENSG00000171	reviewed
P00172	ENSG00000172	reviewed
P00173	ENSG00000173	reviewed
P00174	ENSG00000174	reviewed
P00175	ENSG00000175	reviewed
P00176	ENSG00000176	reviewed
P00177	ENSG00000177	reviewed
P00178	ENSG00000178	reviewed
P00179	ENSG00000179	reviewed
P00180	ENSG00000180	reviewed
P00181	ENSG00000181	reviewed
P00182	ENSG00000182	reviewed
P00183	ENSG00000183	reviewed
P00184	ENSG00000184	reviewed
P00185	ENSG00000185	reviewed
P00186	ENSG00000186	reviewed
P00187	ENSG00000187	reviewed
P00188	ENSG00000188	reviewed
P00189	ENSG00000189	reviewed
P00190	ENSG00000190	reviewed
P00191	ENSG00000191	reviewed
P00192	ENSG00000192	reviewed
P00193	ENSG00000193	reviewed
P00194	ENSG00000194	reviewed
P00195	ENSG00000195	reviewed
P00196	ENSG00000196	reviewed
P00197	ENSG00000197	reviewed
P00198	ENSG00000198	reviewed
P00199	ENSG00000199	reviewed
P00200	ENSG00000200	reviewed
P00201	ENSG00000201	reviewed
P00202	ENSG00000202	reviewed
P00203	ENSG00000203	reviewed
P00204	ENSG00000204	reviewed
P00205	ENSG00000205	reviewed
P00206	ENSG00000206	reviewed
P00207	ENSG00000207	reviewed
P00208	ENSG00000208	reviewed
P00209	ENSG00000209	reviewed
P00210	ENSG00000210	reviewed
P00211	ENSG00000211	reviewed
P00212	ENSG00000212	reviewed
P00213	ENSG00000213	reviewed
P00214	ENSG00000214	reviewed
P00215	ENSG00000215	reviewed
P00216	ENSG00000216	reviewed
P00217	ENSG00000217	reviewed
P00218	ENSG00000218	reviewed
P00219	ENSG00000219	reviewed
P00220	ENSG00000220	reviewed
P00221	ENSG00000221	reviewed
P00222	ENSG00000222	reviewed
P00223	ENSG00000223	reviewed
P00224	ENSG00000224	reviewed
P00225	ENSG00000225	reviewed
P00226	ENSG00000226	reviewed
P00227	ENSG00000227	reviewed
P00228	ENSG00000228	reviewed
P00229	ENSG00000229	reviewed
P00230	ENSG00000230	reviewed
P00231	ENSG00000231	reviewed
P00232	ENSG00000232	reviewed
P00233	ENSG00000233	reviewed
P00234	ENSG00000234	reviewed
P00235	ENSG00000235	reviewed
P00236	ENSG00000236	reviewed
P00237	ENSG00000237	reviewed
P00238	ENSG00000238	reviewed
P00239	ENSG00000239	reviewed
P00240	ENSG00000240	reviewed
P00241	ENSG00000241	reviewed
P00242	ENSG00000242	reviewed
P00243	ENSG00000243	reviewed
P00244	ENSG00000244	reviewed
P00245	ENSG00000245	reviewed
P00246	ENSG00000246	reviewed
P00247	ENSG00000247	reviewed
P00248	ENSG00000248	reviewed
P00249	ENSG00000249	reviewed
P00250	ENSG00000250	reviewed
P00251	ENSG00000251	reviewed
P00252	ENSG00000252	reviewed
P00253	ENSG00000253	reviewed
P00254	ENSG00000254	reviewed
P00255	ENSG00000255	reviewed
P00256	ENSG00000256	reviewed
P00257	ENSG00000257	reviewed
P00258	ENSG00000258	reviewed
P00259	ENSG00000259	reviewed
P00260	ENSG00000260	reviewed
P00261	ENSG00000261	reviewed
P00262	ENSG00000262	reviewed
P00263	ENSG00000263	reviewed
P00264	ENSG00000264	reviewed
P00265	ENSG00000265	reviewed
P00266	ENSG00000266	reviewed
P00267	ENSG00000267	reviewed
P00268	ENSG00000268	reviewed
P00269	ENSG00000269	reviewed
P00270	ENSG00000270	reviewed
P00271	ENSG00000271	reviewed
P00272	ENSG00000272	reviewed
P00273	ENSG00000273	reviewed
P00274	ENSG00000274	reviewed
P00275	ENSG00000275	reviewed
P00276	ENSG00000276	reviewed
P00277	ENSG00000277	reviewed
P00278	ENSG00000278	reviewed
P00279	ENSG00000279	reviewed
P00280	ENSG00000280	reviewed
P00281	ENSG00000281	reviewed
P00282	ENSG00000282	reviewed
P00283	ENSG00000283	reviewed
P00284	ENSG00000284	reviewed
P00285	ENSG00000285	reviewed
P00286	ENSG00000286	reviewed
P00287	ENSG00000287	reviewed
P00288	ENSG00000288	reviewed
P00289	ENSG00000289	reviewed
P00290	ENSG00000290	reviewed
P00291	ENSG00000291	reviewed
P00292	ENSG00000292	reviewed
P00293	ENSG00000293	reviewed
P00294	ENSG00000294	reviewed
P00295	ENSG00000295	reviewed
P00296	ENSG00000296	reviewed
P00297	ENSG00000297	reviewed
P00298	ENSG00000298	reviewed
P00299	ENSG00000299	reviewed
P00300	ENSG00000300	reviewed
P00301	ENSG00000301	reviewed
P00302	ENSG00000302	reviewed
P00303	ENSG00000303	reviewed
P00304	ENSG00000304	reviewed
P00305	ENSG00000305	reviewed
P00306	ENSG00000306	reviewed
P00307	ENSG00000307	reviewed
P00308	ENSG00000308	reviewed
P00309	ENSG00000309	reviewed
P00310	ENSG00000310	reviewed
P00311	ENSG00000311	reviewed
P00312	ENSG00000312	reviewed
P00313	ENSG00000313	reviewed
P00314	ENSG00000314	reviewed
P00315	ENSG00000315	reviewed
P00316	ENSG00000316	reviewed
P00317	ENSG00000317	reviewed
P00318	ENSG00000318	reviewed
P00319	ENSG00000319	reviewed
P00320	ENSG00000320	reviewed
P00321	ENSG00000321	reviewed
P00322	ENSG00000322	reviewed
P00323	ENSG00000323	reviewed
P00324	ENSG00000324	reviewed
P00325	ENSG00000325	reviewed
P00326	ENSG00000326	reviewed
P00327	ENSG00000327	reviewed
P00328	ENSG00000328	reviewed
P00329	ENSG00000329	reviewed
P00330	ENSG00000330	reviewed
P00331	ENSG00000331	reviewed
P00332	ENSG00000332	reviewed
P00333	ENSG00000333	reviewed
P00334	ENSG00000334	reviewed
P00335	ENSG00000335	reviewed
P00336	ENSG00000336	reviewed
P00337	ENSG00000337	reviewed
P00338	ENSG00000338	reviewed
P00339	ENSG00000339	reviewed
P00340	ENSG00000340	reviewed
P00341	ENSG00000341	reviewed
P00342	ENSG00000342	reviewed
P00343	ENSG00000343	reviewed
P00344	ENSG00000344	reviewed
P00345	ENSG00000345	reviewed
P00346	ENSG00000346	reviewed
P00347	ENSG00000347	reviewed
P00348	ENSG00000348	reviewed
P00349	ENSG00000349	reviewed
P00350	ENSG00000350	reviewed
P00351	ENSG00000351	reviewed
P00352	ENSG00000352	reviewed
P00353	ENSG00000353	reviewed
P00354	ENSG00000354	reviewed
P00355	ENSG00000355	reviewed
P00356	ENSG00000356	reviewed
P00357	ENSG00000357	reviewed
P00358	ENSG00000358	reviewed
P00359	ENSG00000359	reviewed
P00360	ENSG00000360	reviewed
