sample_id	layer	treatment	time	time_f	rep	cell
prot_Ctrl_t0_r1	prot	Ctrl	0	0	1	Ctrl_t0
prot_Ctrl_t0_r2	prot	Ctrl	0	0	2	Ctrl_t0
prot_Ctrl_t0_r3	prot	Ctrl	0	0	3	Ctrl_t0
prot_Ctrl_t6_r1	prot	Ctrl	6	6	1	Ctrl_t6
prot_Ctrl_t6_r2	prot	Ctrl	6	6	2	Ctrl_t6
prot_Ctrl_t6_r3	prot	Ctrl	6	6	3	Ctrl_t6
prot_Ctrl_t24_r1	prot	Ctrl	24	24	1	Ctrl_t24
prot_Ctrl_t24_r2	prot	Ctrl	24	24	2	Ctrl_t24
prot_Ctrl_t24_r3	prot	Ctrl	24	24	3	Ctrl_t24
prot_Ctrl_t48_r1	prot	Ctrl	48	48	1	Ctrl_t48
prot_Ctrl_t48_r2	prot	Ctrl	48	48	2	Ctrl_t48
prot_Ctrl_t48_r3	prot	Ctrl	48	48	3	Ctrl_t48
prot_Trt_t0_r1	prot	Trt	0	0	1	Trt_t0
prot_Trt_t0_r2	prot	Trt	0	0	2	Trt_t0
prot_Trt_t0_r3	prot	Trt	0	0	3	Trt_t0
prot_Trt_t6_r1	prot	Trt	6	6	1	Trt_t6
prot_Trt_t6_r2	prot	Trt	6	6	2	Trt_t6
prot_Trt_t6_r3	prot	Trt	6	6	3	Trt_t6
prot_Trt_t24_r1	prot	Trt	24	24	1	Trt_t24
prot_Trt_t24_r2	prot	Trt	24	24	2	Trt_t24
prot_Trt_t24_r3	prot	Trt	24	24	3	Trt_t24
prot_Trt_t48_r1	prot	Trt	48	48	1	Trt_t48
prot_Trt_t48_r2	prot	Trt	48	48	2	Trt_t48
prot_Trt_t48_r3	prot	Trt	48	48	3	Trt_t48
