gene_id	rna_Ctrl_t0_r1	rna_Ctrl_t0_r2	rna_Ctrl_t0_r3	rna_Ctrl_t6_r1	rna_Ctrl_t6_r2	rna_Ctrl_t6_r3	rna_Ctrl_t24_r1	rna_Ctrl_t24_r2	rna_Ctrl_t24_r3	rna_Ctrl_t48_r1	rna_Ctrl_t48_r2	rna_Ctrl_t48_r3	rna_Trt_t0_r1	rna_Trt_t0_r2	rna_Trt_t0_r3	rna_Trt_t6_r1	rna_Trt_t6_r2	rna_Trt_t6_r3	rna_Trt_t24_r1	rna_Trt_t24_r2	rna_Trt_t24_r3	rna_Trt_t48_r1	rna_Trt_t48_r2	rna_Trt_t48_r3
ENSG00000001	649	1070	1062	904	1224	1139	944	907	644	1028	1060	982	1005	708	1107	222	182	237	143	116	127	243	358	249
ENSG00000002	389	714	694	843	589	555	664	436	267	720	747	634	798	384	1011	666	577	785	524	611	547	549	504	398
ENSG00000003	98	150	104	205	140	200	148	92	79	150	166	143	150	56	111	205	93	189	135	86	185	144	106	169
ENSG00000004	32	87	86	85	106	103	86	42	69	117	144	89	109	40	86	133	68	195	89	48	111	115	45	107
ENSG00000005	23854	31694	36445	50310	50023	36515	51389	30811	23890	45065	37508	44113	46235	17441	37992	50357	39119	58916	38344	31899	37054	33559	33278	32320
ENSG00000006	170	216	222	265	172	156	124	73	88	95	154	99	226	290	273	240	194	221	108	82	138	95	87	50
ENSG00000007	702	1191	1398	1214	998	1329	1193	829	701	1147	1393	1487	1073	581	1165	1305	1176	2239	1083	782	1283	1190	858	989
ENSG00000008	121	150	168	246	194	144	213	148	73	198	143	134	198	125	221	222	190	180	207	121	186	151	153	125
ENSG00000009	684	1112	1104	1670	990	1429	1105	631	671	984	1320	1090	1517	743	1208	1982	1717	2444	3208	2145	3646	2992	4041	3984
ENSG00000010	2679	4874	3657	4869	6087	4697	4118	2989	3414	4049	5156	4795	4314	2488	4127	21951	16023	24367	21997	19914	29021	26562	17184	20096
ENSG00000011	1530	2492	2002	3203	2330	3116	3077	1923	1931	2296	3938	2788	1877	1547	2202	2953	2497	3293	2190	1746	2828	2196	2424	1848
ENSG00000012	920	1552	1373	1965	1612	1273	1227	982	972	1346	1988	1605	1763	814	1782	1747	1274	2339	1491	769	1658	1741	949	916
ENSG00000013	3283	6074	6872	9866	6275	7271	7445	5851	6774	5667	8845	8514	8146	3984	9231	9078	6923	11920	4802	6359	6790	6905	6577	4606
ENSG00000014	72	154	118	143	141	116	190	161	93	183	273	279	207	113	133	124	126	186	157	92	141	112	136	113
ENSG00000015	337	628	646	1233	959	840	993	566	421	792	789	816	831	443	851	296	293	458	133	113	222	156	218	127
ENSG00000016	180	298	275	402	292	276	246	276	226	413	406	387	338	203	357	309	242	471	292	243	335	213	306	224
ENSG00000017	3778	6632	4616	7586	8197	7872	7582	5059	4959	6761	7726	8994	9653	4262	6734	21598	18418	30907	31340	28699	48414	38835	46811	31584
ENSG00000018	391	717	762	993	777	663	1130	561	635	655	1012	590	1191	342	568	244	193	310	176	114	160	241	294	240
ENSG00000019	285	494	543	782	841	696	481	295	406	488	581	724	540	259	491	555	519	886	411	324	529	375	387	324
ENSG00000020	1943	3883	3720	5198	3458	3714	3599	3614	2939	4040	4350	4186	4140	2498	4244	4358	3963	7055	4171	3287	4241	3901	3896	3149
ENSG00000021	104	199	176	304	283	286	322	166	131	259	307	280	330	127	260	240	230	314	214	211	248	324	235	190
ENSG00000022	587	697	783	1151	1168	805	731	722	526	809	949	887	1156	492	875	3930	3622	5711	4016	3025	4363	3200	3269	2636
ENSG00000023	531	817	713	1020	963	914	1011	671	657	1188	1341	1171	1387	533	890	3170	2786	3579	3398	3254	3716	3051	3048	3286
ENSG00000024	29615	48216	49367	87031	52958	57694	74176	44273	44995	48009	48506	56117	68143	29805	58280	87063	55446	73457	49145	46962	62144	51983	52450	48970
