gene_id	archetype	log2_base	t_half_h	kd	ks	A_time	A_trt	delta_log_ks	delta_log_kd	shape	has_protein	true_lfc_rna_t0	true_lfc_rna_t6	true_lfc_rna_t24	true_lfc_rna_t48	true_lfc_prot_t0	true_lfc_prot_t6	true_lfc_prot_t24	true_lfc_prot_t48
ENSG00000001	concordant	6.58921067021219	9.08890180262544	0.0762630288688696	0.0762630288688696	0	-2.81739437457977	0	0	impulse	FALSE	0	-2.25069019895591	-2.53229853289073	-1.56947928951578	0	-0.352254600320179	-1.66722072286319	-1.8324024803856
ENSG00000002	unchanged	6.10086377370191	8.97663879287344	0.0772167842054907	0.0772167842054907	-0.185756596180358	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000003	unchanged	3.90628693440605	6.70786567014197	0.103333491552355	0.103333491552355	0	0	0	0	mono	TRUE	0	0	0	0	0	0	0	0
ENSG00000004	unchanged	3.25260048286525	5.78249502031401	0.119869913960134	0.119869913960134	0	0	0	0	impulse	FALSE	0	0	0	0	0	0	0	0
ENSG00000005	unchanged	11.9491404685984	4.46850853398372	0.155118240300639	0.155118240300639	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000006	unchanged	5.00381886498402	6.44780383988726	0.107501282261723	0.107501282261723	-1.84319500059679	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000007	unchanged	6.85460009865318	6.83832621798684	0.101362110911989	0.101362110911989	0	0	0	0	mono	FALSE	0	0	0	0	0	0	0	0
ENSG00000008	unchanged	4.2399407064333	5.57442101241688	0.124344246517437	0.124344246517437	0	0	0	0	impulse	TRUE	0	0	0	0	0	0	0	0
ENSG00000009	concordant	6.97164983357185	5.60549340844607	0.123654980936298	0.123654980936298	-0.323535919029257	2.53611262974086	0	0	mono	FALSE	0	0.510219858595019	1.50344584431859	2.11562630069982	0	0.163588229497585	1.14975229099495	1.94944379097226
ENSG00000010	buffered	8.75521001957603	16.1717316003808	0.042861654997021	0.042861654997021	0	2.57847232913929	0	0.97663537227059	mono	FALSE	0	2.0530914344748	2.57402796456177	2.57846466864347	0	0.0419123825952151	1.01631268271951	1.15977888118989
