gene_id	archetype	rna_responds	prot_responds	regulated	amplitude_a	t_half_M0_h	t_half_M1_h	identifiable	lrt	lrt_p	lrt_fdr	gof_M0_p	rna_any_fdr	prot_any_fdr	lfc_rna_t0	lfc_rna_t6	lfc_rna_t24	lfc_rna_t48	lfc_prot_t0	lfc_prot_t6	lfc_prot_t24	lfc_prot_t48	pred_prot_t0	pred_prot_t6	pred_prot_t24	pred_prot_t48
ENSG00000003	protein_only	FALSE	TRUE	FALSE	2.273	0.5	0.5	TRUE	5.417	0.0199450208796063	0.0858775613301906	3.14111378426215e-09	0.572288266730342	0.0218329188036976	0	0.009	0.458	0.549	0	2.22	1.246	1.009	0	0.008	0.44	0.546
ENSG00000012	unchanged	FALSE	FALSE	FALSE	114.169	0.5	288	TRUE	0.248	0.618342118857819	0.803412800655705	0.396992724635169	0.965148127868715	0.799934021123133	0	0.002	0.025	-0.124	0	0.339	0.178	-0.216	0	0.002	0.024	-0.119
ENSG00000015	kinetics_limited	TRUE	TRUE	FALSE	0.133	109.67	7.71	FALSE	0.086	0.768780502603654	0.886556761689963	0.150376433215692	2.28555885488096e-41	0.00588411760813686	0	-1.925	-2.522	-2.167	0	0.609	-0.418	-0.238	0	-0.024	-0.151	-0.319
ENSG00000018	kinetics_limited	TRUE	FALSE	FALSE	0.24	86.15	2.5	FALSE	3.906	0.0481261414432662	0.168358868616809	0.0726741332655447	4.49714918684126e-39	0.536984000706107	0	-1.747	-2.459	-1.051	0	-0.056	-0.712	-0.079	0	-0.029	-0.185	-0.358
ENSG00000019	unchanged	FALSE	FALSE	FALSE	4.884	0.5	0.5	TRUE	11.986	0.000536138546359492	0.00436735561818246	0.000918078824553147	0.101769579918704	0.099155185899651	0	-0.209	0.074	-0.146	0	-1.103	0.021	-0.535	0	-0.184	0.062	-0.139
ENSG00000020	unchanged	FALSE	FALSE	FALSE	-336.651	2.71	192.61	TRUE	1.469	0.225524215559094	0.477338473100499	0.288556601089514	0.9153517330906	0.80103354472136	0	0.087	-0.097	0.089	0	-0.383	-0.271	0.174	0	0.043	-0.058	0.059
ENSG00000024	unchanged	FALSE	FALSE	FALSE	-25.536	0.5	288	TRUE	1.62	0.203091845996994	0.447455280581095	0.0738552529004612	0.205117909635513	0.471782954997369	0	-0.105	-0.354	0.267	0	-0.402	0.099	0.438	0	-0.092	-0.344	0.249
ENSG00000025	unchanged	FALSE	FALSE	FALSE	-1.274	288	2.94	FALSE	3.336	0.067782833375481	0.212274938520978	0.187815002188011	0.628849273532677	0.904611130605109	0	0.243	0.345	0.065	0	-0.132	-0.418	-0.131	0	0.002	0.016	0.027
ENSG00000029	unchanged	FALSE	FALSE	FALSE	0.746	0.5	0.5	TRUE	0.11	0.740410651632206	0.878581773236011	0.599582040557902	0.692795618022823	0.730592918691421	0	-0.301	0.016	-0.264	0	-0.379	0.068	-0.003	0	-0.265	0.003	-0.256
ENSG00000031	concordant	TRUE	TRUE	FALSE	0.663	17.24	7.71	TRUE	1.542	0.214299060274618	0.462677197469699	0.456614844765688	9.09738855287704e-70	4.54504362802959e-05	0	-2.294	-2.951	-1.63	0	-0.195	-1.227	-1.337	0	-0.169	-0.962	-1.573
ENSG00000034	kinetics_limited	TRUE	FALSE	FALSE	0.127	245.19	0.5	FALSE	0.11	0.739858990142455	0.878581773236011	0.472209466440834	3.5292723194376e-19	0.750672756962129	0	1.052	1.365	0.542	0	0.31	-0.026	0.227	0	0.011	0.102	0.177
ENSG00000035	unchanged	FALSE	FALSE	FALSE	-178.436	288	118.86	FALSE	13.636	0.000221910404868961	0.0019476324249079	0.000554991752229762	0.92037962120682	0.587695440006036	0	-0.141	0.123	-0.201	0	0.783	0.662	1.122	0	-0.001	-0.001	-0.003
ENSG00000036	unchanged	FALSE	FALSE	FALSE	0.597	3.18	1.54	TRUE	0.101	0.751038176679688	0.882162534884092	0.950230844130262	0.0595532621052651	0.877051955524578	0	-0.371	0.246	0.191	0	-0.136	0.111	0.118	0	-0.158	0.102	0.201
ENSG00000037	unchanged	FALSE	FALSE	FALSE	-0.686	288	0.5	FALSE	2.975	0.0845788206068563	0.246538264322113	0.207220887168001	0.143606412812211	0.943798811608077	0	-0.285	-0.544	-0.322	0	0.234	0.396	0.129	0	-0.002	-0.017	-0.037
ENSG00000041	unchanged	FALSE	FALSE	FALSE	-26.475	288	288	FALSE	1.806	0.178950074734482	0.409222705045317	0.361667901638305	0.786060264449536	0.970489233243266	0	0.24	0.135	-0.074	0	-0.175	-0.201	-0.341	0	0.002	0.01	0.011
ENSG00000042	unchanged	FALSE	FALSE	FALSE	-4.952	288	288	FALSE	0.468	0.493830803159532	0.731599678543975	0.727512946778972	0.359203539611885	0.988329454064961	0	-0.43	-0.282	-0.185	0	-0.093	0.052	0.163	0	-0.003	-0.016	-0.027
ENSG00000043	unchanged	FALSE	FALSE	FALSE	60.833	13.54	288	TRUE	6.137	0.0132354983195279	0.0641347137219566	0.000902497339637178	0.749623901221314	0.414159958908436	0	-0.126	0.297	-0.033	0	0.615	0.18	0.716	0	-0.017	0.068	0.092
ENSG00000044	concordant	TRUE	TRUE	FALSE	0.986	9.81	9.05	TRUE	0.013	0.909724691089446	0.956702797956591	0.552227397763815	1.89112635605524e-64	4.85946182008791e-09	0	1.651	2.24	2.29	0	0.204	1.921	2.061	0	0.408	1.714	2.184
ENSG00000047	unchanged	FALSE	FALSE	FALSE	-14.799	288	288	FALSE	5.466	0.0193927480891732	0.0839795154321378	0.00946549695476537	0.19893045680883	0.433634664234141	0	-0.63	-0.314	-0.088	0	0.435	0.029	0.592	0	-0.004	-0.021	-0.03
ENSG00000048	unchanged	FALSE	FALSE	FALSE	-0.685	288	0.5	FALSE	0.353	0.552394058859202	0.772941361839199	0.639505142621698	0.892128036969491	0.951317635122141	0	0.04	0.197	0.069	0	-0.204	-0.081	-0.09	0	0	0.006	0.013
ENSG00000050	unchanged	FALSE	FALSE	FALSE	1.145	0.5	0.5	TRUE	0.136	0.711836999378631	0.866177842866626	0.187428792063842	0.488147263387209	0.52284111093621	0	0.282	0.463	0.444	0	0.72	0.474	0.313	0	0.248	0.455	0.444
ENSG00000051	unchanged	FALSE	FALSE	FALSE	0.73	0.5	0.5	TRUE	0.677	0.410615812836424	0.674071928044107	0.159991582752749	0.0971966565290584	0.501448605474742	0	-0.42	-0.113	-0.736	0	-0.666	-0.184	-0.303	0	-0.369	-0.125	-0.717
ENSG00000058	unchanged	FALSE	FALSE	FALSE	3.355	5.16	38.53	TRUE	2.345	0.125696706484715	0.320515967296895	0.269702369808706	0.0522890605371675	0.553460836904042	0	-0.804	-0.296	-0.328	0	-0.238	-0.48	-0.714	0	-0.226	-0.43	-0.324
ENSG00000060	unchanged	FALSE	FALSE	FALSE	-3.523	288	20.24	FALSE	13.633	0.000222291159312647	0.0019476324249079	0.000782542526373556	0.833830807277524	0.564861824479479	0	-0.366	-0.332	-0.161	0	0.32	0.529	0.744	0	-0.002	-0.016	-0.027
ENSG00000067	unchanged	FALSE	FALSE	FALSE	70.392	0.5	288	TRUE	3.27	0.0705619340423245	0.218578163612963	0.00119287701215057	0.0766890518500362	0.192030168201076	0	0.143	0.04	-0.03	0	0.554	-0.106	0.71	0	0.126	0.044	-0.028
ENSG00000068	unchanged	FALSE	FALSE	FALSE	-1.131	288	0.5	FALSE	2.837	0.0921392969321266	0.259055821784916	0.226043485380264	0.811414794247699	0.905833360887012	0	-0.275	-0.274	-0.02	0	0.335	0.252	0.07	0	-0.002	-0.012	-0.019
ENSG00000077	kinetics_limited	TRUE	FALSE	FALSE	-0.444	288	0.5	FALSE	1.05	0.305445919100392	0.566183271936398	0.283976870651362	2.45768827359474e-19	0.701907460359453	0	-1.694	-1.915	-0.486	0	1.456	0.003	1.046	0	-0.009	-0.053	-0.096
ENSG00000078	unchanged	FALSE	FALSE	FALSE	-1.393	288	0.5	FALSE	4.139	0.0419069947768394	0.152545509972698	0.00869431012329276	0.708176581667465	0.258845543611003	0	-0.175	-0.059	-0.351	0	0.577	-0.402	0.406	0	-0.001	-0.006	-0.016
ENSG00000082	protein_only	FALSE	TRUE	FALSE	6.547	0.5	1.67	TRUE	10.771	0.00103102742114007	0.00761646237087296	0.000966503332079672	0.772082439303548	0.000450845457813551	0	0.032	-0.061	-0.221	0	-0.337	-0.725	-1.292	0	0.029	-0.058	-0.216
ENSG00000085	unchanged	FALSE	FALSE	FALSE	2.697	3.74	6.06	TRUE	1.111	0.291836671671985	0.554660046844484	0.461417082178721	0.980424132395515	0.762715283512907	0	-0.157	-0.128	-0.118	0	-0.021	-0.465	-0.227	0	-0.061	-0.133	-0.12
ENSG00000088	protein_only	FALSE	TRUE	FALSE	2.274	0.5	0.5	TRUE	3.99	0.0457672087507506	0.163159095323201	0.00492352219386129	0.274569804655663	0.00249722326595924	0	-0.07	-0.371	-0.251	0	0.437	-1.135	-0.269	0	-0.062	-0.358	-0.255
ENSG00000089	unchanged	FALSE	FALSE	FALSE	-1.834	288	25.77	FALSE	5.624	0.0177120506239721	0.0793655545006134	0.0286638425061265	0.717104153555157	0.626768349868635	0	-0.426	-0.444	-0.182	0	0.336	0.24	0.444	0	-0.003	-0.019	-0.034
ENSG00000093	unchanged	FALSE	FALSE	FALSE	2.732	7.71	18.68	TRUE	0.871	0.350758902948761	0.616076534666414	0.531808674650682	0.334824282346564	0.948249566630975	0	-0.006	-0.348	-0.039	0	-0.163	-0.248	-0.372	0	-0.001	-0.173	-0.144
ENSG00000094	unchanged	FALSE	FALSE	FALSE	0.961	0.5	0.5	TRUE	0.009	0.923901154815536	0.9645589934755	0.769563804122428	0.371094312089235	0.730592918691421	0	-0.294	-0.568	-0.23	0	-0.232	-0.619	-0.055	0	-0.258	-0.557	-0.24
