pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Biodegradation of Xenobiotics	0.154845154845155	0.625774225774226	0.106729884364606	0.482788962650299	1.35547598772221	10	traescad_scaffold_125814_01g000100;traescad_scaffold_014298_01g000100;traescad_scaffold_108469_01g000100;traescad_scaffold_031718_01g000200;traescad_scaffold_004110_01g000600;traescad_scaffold_100994_01g000100;traescad_scaffold_067112_01g000100;traescad_scaffold_046026_01g000300;traescad_scaffold_087135_01g000100
Biodegradation of Xenobiotics.lactoylglutathione lyase	0.84015984015984	1	0.0199001825208318	0.232051656965357	0.59254358453216	6	traescad_scaffold_049302_01g000100;traescad_scaffold_014112_01g000200;traescad_scaffold_015725_01g000100;traescad_scaffold_010118_01g000100
Co-factor and vitamine metabolism	0.953046953046953	1	0.0101263868834473	0.157053625296943	0.447761089227636	11	traescad_scaffold_088448_01g000300;traescad_scaffold_015500_01g000100;traescad_scaffold_035954_01g000200;traescad_scaffold_004928_01g000200;traescad_scaffold_074340_01g000100;traescad_scaffold_009349_01g000100;traescad_scaffold_098002_01g000400;traescad_scaffold_078874_01g000100;traescad_scaffold_061920_01g000300;traescad_scaffold_042941_01g000100;traescad_scaffold_036532_01g000400
Co-factor and vitamine metabolism.iron-sulphur clusters	0.941058941058941	1	0.0114177828322783	0.149952425686495	0.367964822917354	5	traescad_scaffold_002921_01g000700;traescad_scaffold_049639_01g000100;traescad_scaffold_018317_01g000100;traescad_scaffold_059059_01g000200;traescad_scaffold_035927_01g000200
DNA.repair	0.431568431568432	0.988064567011935	0.0523759084097997	0.370046028486779	1.07195103204472	12	traescad_scaffold_029900_01g000200;traescad_scaffold_050609_01g000100;traescad_scaffold_057874_01g000100;traescad_scaffold_082128_01g000100;traescad_scaffold_014758_01g000200;traescad_scaffold_040314_01g000200;traescad_scaffold_048537_01g000200;traescad_scaffold_159115_01g000100
DNA.synthesis/chromatin structure	0.94005994005994	1	0.0115202567953401	0.173529617768887	0.562492893551375	25	traescad_scaffold_014191_01g000600;traescad_scaffold_015733_01g000200;traescad_scaffold_001925_01g000100;traescad_scaffold_079699_01g000100;traescad_scaffold_129601_01g000100;traescad_scaffold_010880_01g000600;traescad_scaffold_001706_01g000300
DNA.unspecified	0.946053946053946	1	0.0108943796561199	0.155646050697714	0.450876193324854	12	traescad_scaffold_059919_01g000200;traescad_scaffold_010540_01g000100;traescad_scaffold_072273_01g000200;traescad_scaffold_047235_01g000100;traescad_scaffold_117957_01g000100;traescad_scaffold_049778_01g000100;traescad_scaffold_125972_01g000100;traescad_scaffold_134477_01g000100;traescad_scaffold_131416_01g000100;traescad_scaffold_076466_01g000100;traescad_scaffold_033440_01g000300;traescad_scaffold_029973_01g000100
N-metabolism.ammonia metabolism.glutamine synthetase	0.665334665334665	1	0.0323604297137014	0.340413137814904	0.835332002142349	5	traescad_scaffold_035357_01g000500;traescad_scaffold_102536_01g000300;traescad_scaffold_075358_01g000100
OPP.oxidative PP.6-phosphogluconate dehydrogenase	0.796203796203796	1	0.0230827802358481	0.260912266070112	0.666239109892126	6	traescad_scaffold_088779_01g000100;traescad_scaffold_208802_01g000100;traescad_scaffold_106618_01g000100;traescad_scaffold_055130_01g000100;traescad_scaffold_149447_01g000200;traescad_scaffold_012123_01g000200
OPP.oxidative PP.G6PD	0.423576423576424	0.982697302697303	0.0532386494755899	0.443946188340807	1.08938938353147	5	traescad_scaffold_008779_01g000100;traescad_scaffold_063958_01g000100;traescad_scaffold_012737_01g000300;traescad_scaffold_071469_01g000100;traescad_scaffold_006981_01g000600
