pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Biodegradation of Xenobiotics	0.752247752247752	1	0.0261841515946199	0.268491555037857	0.716539171095891	8	traesnor3b03g01608760;traesnor5b03g02932360;traesnor2b03g00894220;traesnor5b03g02932520;traesnor2d03g01143060;traesnor5d03g03162280;traesnor5d03g03162200;traesnor2a03g00632610
Co-factor and vitamine metabolism	0.96003996003996	1	0.00930780437504605	0.130899203728879	0.360301377180816	10	traesnor6d03g03706730;traesnor4d03g02558530;traesnor5a03g02800840;traesnor4b03g02299120;traesnor5d03g03200810;traesnor6b03g03589560;traesnor2d03g01204900;traesnor1d03g00513210
Co-factor and vitamine metabolism.iron-sulphur clusters	0.946053946053946	1	0.0108943796561199	0.121388356417865	0.299966265825456	5	traesnor5d03g03109550;traesnor5a03g02676330;traesnor7b03g04206020;traesnor5d03g03135930;traesnor5b03g02863840
DNA.repair	0.867132867132867	1	0.0178589946943486	0.218010977581781	0.618868856304581	12	traesnor5b03g02918790;traesnor6b03g03527010;traesnor5a03g02729430;traesnor3a03g01458590;traesnor7a03g03917140;traesnor5d03g03189090;traesnor5b03g02963390;traesnor5d03g03208290;traesnor2b03g00894100
DNA.synthesis/chromatin structure	0.763236763236763	1	0.025411808387565	0.254474645690026	0.818946695465548	29	traesnor5a03g02790260;traesnor5a03g02641910;traesnor1b03g00369510;traesnor4a03g02175870;traesnor3a03g01338200;traesnor6b03g03626570;traesnor4d03g02569080;traesnor1a03g00066190;traesnor2d03g01228390;traesnor7a03g04010800;traesnor5d03g03212850;traesnor5b03g02918470;traesnor4d03g02523880
DNA.synthesis/chromatin structure.histone.core.H2A	0.509490509490509	0.974570883661793	0.044774889329693	0.391805926344127	0.9933989921453	6	traesnor2d03g01172030;traesnor7d03g04498290;traesnor6a03g03307370;traesnor6d03g03717690;traesnor4d03g02525880
DNA.unspecified	1	1	0	0.0357444799664667	0.105079815425536	15	traesnor1b03g00295520;traesnor4b03g02366200;traesnor4d03g02449080;traesnor4a03g02154280;traesnor5b03g03009050;traesnor6b03g03541300;traesnor2d03g01256400;traesnor7d03g04449620;traesnor6b03g03606600;traesnor2a03g00697060;traesnor2d03g01234670;traesnor5d03g03133020;traesnor2a03g00743390;traesnor2b03g00991310;traesnor6b03g03541320
OPP.oxidative PP.6-phosphogluconate dehydrogenase	0.976023976023976	1	0.00715048391330487	0.0584012417539775	0.144316991558938	5	traesnor3a03g01458080;traesnor6d03g03730540;traesnor6b03g03526640;traesnor7d03g04328170;traesnor3b03g01803200
OPP.oxidative PP.G6PD	0.443556443556444	0.974570883661793	0.0511147954416412	0.434613892122623	1.07398691392698	5	traesnor2b03g00855420;traesnor6a03g03371640;traesnor6d03g03729850;traesnor6a03g03319630;traesnor6b03g03525880
PS.calvin cycle.aldolase	0.478521478521479	0.974570883661793	0.0476387259290825	0.422833805133793	1.0448768014795	5	traesnor5b03g02870640;traesnor4d03g02464990;traesnor4b03g02284450;traesnorun03g04717740;traesnor3b03g01562350
PS.calvin cycle.rubisco interacting	0.050949050949051	0.372149589540894	0.197822021315103	0.591130810627211	1.60527977700949	9	traesnor4d03g02474890;traesnor2a03g00600210;traesnor4b03g02299450;traesnor1d03g00579620;traesnor4b03g02299460;traesnor5b03g02928030
PS.lightreaction.NADH DH	0.481518481518482	0.974570883661793	0.0473534245254193	0.368912500560533	1.01543537488955	10	traesnor2d03g01252210;traesnor3a03g01537110;traesnor3d03g02019220;traesnor3b03g01803350;traesnor5d03g03158690;traesnor2b03g01008860;traesnor5d03g03138560;traesnor3b03g01750020;traesnor2a03g00760560
PS.lightreaction.cyclic electron flow-chlororespiration	0.933066933066933	1	0.01221929569568	0.164816109886944	0.439854425756476	8	traesnor2b03g01074530;traesnor7d03g04479130;traesnor5d03g03264640;traesnor4a03g02175500;traesnor2a03g00810680;traesnor4d03g02552140;traesnor4a03g02040990;traesnor4b03g02383210
PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase	0.501498501498502	0.974570883661793	0.0454967810085007	0.398408693964681	1.01013988925431	6	traesnor7d03g04324150;traesnor6a03g03267240;traesnor4a03g02234370;traesnor7a03g03846170;traesnor6b03g03455720;traesnor3b03g01612180
PS.lightreaction.photosystem I.LHC-I	0.470529470529471	0.974570883661793	0.0484087618816951	0.394952828493317	1.02227412704071	7	traesnor5d03g03158960;traesnor7d03g04400250;traesnor6a03g03415580;traesnor2d03g01162760;traesnor6d03g03736470;traesnor3a03g01429660
PS.lightreaction.photosystem I.PSI polypeptide subunits	0.123876123876124	0.645899554990464	0.121543282035469	0.503496503496504	1.41157641801796	11	traesnor2a03g00699060;traesnor1d03g00568590;traesnor5b03g03027870;traesnor5d03g03243070;traesnor5a03g02785120;traesnor2b03g00936360;traesnor2d03g01132940;traesnor2d03g01185110;traesnor5d03g03219570;traesnor2d03g01217670;traesnor5d03g03167810
PS.lightreaction.photosystem II.LHC-II	0.00018251517062147	0.00613250973288141	0.518848077743792	0.651829433326093	1.98118999085689	19	traesnor6a03g03297390;traesnor1a03g00156570;traesnor7a03g03913820;traesnor1b03g00392950;traesnor6d03g03709000;traesnor7a03g03947390;traesnor1b03g00344150;traesnor1d03g00572050;traesnor5d03g03233300;traesnor2d03g01227520;traesnor6b03g03501850;traesnor7d03g04421440;traesnor2d03g01166300;traesnor2a03g00657030;traesnor5d03g03199340;traesnor4d03g02457660;traesnor2b03g00921820
PS.lightreaction.photosystem II.PSII polypeptide subunits	0.04995004995005	0.372149589540894	0.199915231309662	0.45391829124737	1.44449590432939	27	traesnor6d03g03765110;traesnor6d03g03828530;traesnor6a03g03435520;traesnor3d03g01963470;traesnor4b03g02336260;traesnor3a03g01473790;traesnor7d03g04409020;traesnor5a03g02620810;traesnor6a03g03368070;traesnor5d03g03094430;traesnor7a03g03933320;traesnor4d03g02525470;traesnor2d03g01221230;traesnor3b03g01719800;traesnor6b03g03497120;traesnor2a03g00729750
PS.photorespiration.glycolate oxydase	0.402597402597403	0.974570883661793	0.0555947097758869	0.450329840900272	1.11282304786809	5	traesnor5d03g03222570;traesnor2d03g01197940;traesnor5b03g03002320;traesnor5a03g02764330;traesnor2d03g01153010
RNA.RNA binding	0.400599400599401	0.974570883661793	0.055826471778749	0.299562936402476	1.05375280148583	64	traesnor2b03g00953180;traesnor6d03g03770680;traesnor2d03g01148670;traesnor2a03g00637440;traesnor1a03g00122170;traesnor4b03g02333210;traesnor2d03g01197470;traesnor2d03g01170250;traesnor3d03g01941690;traesnor2b03g01036200;traesnor2b03g00899490;traesnor4a03g02089550;traesnor2d03g01161040;traesnor3d03g01985980;traesnor6a03g03346280;traesnor2a03g00708750;traesnor2a03g00782290
RNA.processing	0.97002997002997	1	0.00801915843678622	0.148746318496132	0.455790541217099	20	traesnor3d03g01886350;traesnor4d03g02517370;traesnor6d03g03836150;traesnor2a03g00686440;traesnor7d03g04344150;traesnor2d03g01195440;traesnor2d03g01253420;traesnor1b03g00195290;traesnor3a03g01502440;traesnor2d03g01114820;traesnor1d03g00524950;traesnor1b03g00408180;traesnor7a03g03958790;traesnorun03g04561750;traesnor5b03g02899040;traesnor2d03g01212190
RNA.processing.RNA helicase	0.492507492507492	0.974570883661793	0.0463227785794633	0.34933065238355	1.00211857541001	13	traesnor5d03g03233390;traesnor5d03g03185320;traesnor5b03g03030730;traesnor4a03g02193950;traesnor3d03g01917870;traesnor4d03g02480910;traesnor5d03g03076920
RNA.processing.splicing	0.964035964035964	1	0.00881182919930239	0.142562668406465	0.419098526451554	15	traesnor6b03g03511350;traesnor2d03g01132380;traesnor3b03g01612730;traesnor5d03g03091930;traesnor1d03g00474330;traesnor6b03g03482390;traesnor1d03g00484350;traesnor6d03g03819530;traesnor2d03g01151170;traesnor6d03g03772600
RNA.regulation of transcription	0.37962037962038	0.974570883661793	0.0583452776743612	0.464493597206054	1.14782351425946	5	traesnor3b03g01738570;traesnor3b03g01711030;traesnor5d03g03244110;traesnor7a03g03927460;traesnor5a03g02667010
RNA.regulation of transcription.GRP	0.938061938061938	1	0.0117231586093378	0.144381913448477	0.366071153241698	6	traesnor5d03g03056210;traesnor1d03g00521040;traesnor5a03g02587280;traesnor1b03g00324830;traesnor5b03g02818070;traesnor6a03g03287690
RNA.regulation of transcription.HDA	0.488511488511489	0.974570883661793	0.0466948041282054	0.416763678696158	1.02987673710498	5	traesnor1b03g00407550;traesnor7d03g04470120;traesnor6d03g03743560;traesnor2a03g00645730;traesnor5d03g03114440
RNA.regulation of transcription.SET-domain transcriptional regulator family	0.92007992007992	1	0.0134461833974729	0.166246016398159	0.42150619486304	6	traesnor2b03g01079070;traesnor1b03g00370470;traesnor5b03g02865270;traesnor2a03g00814520;traesnor6a03g03404340;traesnor4d03g02554530
RNA.regulation of transcription.putative transcription regulator	0.78021978021978	1	0.024215353215022	0.252867586576072	0.752675059529467	16	traesnor5b03g02967950;traesnor1d03g00481480;traesnor5d03g03237750;traesnor2a03g00762960;traesnor7d03g04387880;traesnor2d03g01245590;traesnor2b03g01002090;traesnor2a03g00754060;traesnor3a03g01404520
RNA.regulation of transcription.unclassified	0.0809190809190809	0.503496503496503	0.154190966581424	0.406073887434558	1.34424074228383	35	traesnor7a03g04051400;traesnor6b03g03613590;traesnor6a03g03403180;traesnor4a03g02035360;traesnor5a03g02764170;traesnor5d03g03136540;traesnorun03g04707820;traesnor7d03g04517080;traesnor6d03g03797430;traesnor6d03g03687730;traesnor1b03g00307410;traesnor7d03g04478710;traesnor6d03g03797470;traesnor4a03g02064950;traesnor3d03g01956500;traesnor6a03g03272760;traesnor6b03g03462120;traesnor6a03g03293430;traesnor2b03g00916770;traesnor6d03g03803720;traesnor7b03g04236480
RNA.transcription	0.709290709290709	1	0.0292103127923884	0.279373110951475	0.831570292434751	16	traesnor3a03g01450570;traesnor3d03g01931210;traesnor2a03g00759210;traesnor1d03g00545850;traesnor3b03g01689950;traesnor1d03g00469470;traesnor2d03g01250630;traesnor6a03g03433480;traesnor2d03g01132090
TCA / org transformation.TCA.IDH	0.954045954045954	1	0.0100128309769611	0.119999654185404	0.304251486540466	6	traesnor6d03g03767900;traesnor2b03g01000110;traesnor3d03g01884010;traesnor3d03g01923120;traesnor3a03g01441820;traesnor2d03g01233020
TCA / org transformation.TCA.aconitase	0.656343656343656	1	0.0330162512586498	0.337223842147414	0.833323554757231	5	traesnor7a03g03922420;traesnor3d03g01889380;traesnor6a03g03443400;traesnor3b03g01641100
TCA / org transformation.TCA.pyruvate DH.E1	0.978021978021978	1	0.00683906706351732	0.0556849049282111	0.137604573346894	5	traesnor5b03g02952760;traesnor7d03g04415980;traesnor6d03g03806360;traesnor2d03g01100090;traesnor5d03g03207530
TCA / org transformation.other organic acid transformatons.cyt MDH	0.435564435564436	0.974570883661793	0.0519512476197082	0.436746422113965	1.07925667024579	5	traesnor7a03g04010750;traesnor1d03g00552620;traesnor7d03g04479170;traesnor7a03g03963230
TCA / org transformation.other organic acid transformatons.malic	0.988011988011988	1	0.00502537209391229	0.0384167636786962	0.0949327718560454	5	traesnor2a03g00679300;traesnor2b03g00936680;traesnor1d03g00485290;traesnor3d03g01941520;traesnor3d03g01856750
amino acid metabolism.degradation.aromatic aa.tyrosine	0.171828171828172	0.724543748933993	0.10027910675413	0.565428044610571	1.39724553606247	5	traesnor1d03g00531460;traesnor7a03g03849870;traesnor6b03g03535510;traesnor5b03g03031480
amino acid metabolism.degradation.aspartate family.methionine	0.557442557442557	0.985793154214207	0.0406579344155557	0.374696574063798	0.950019318258975	6	traesnor2a03g00794630;traesnor2b03g01054620;traesnor2d03g01289900;traesnor2d03g01288820;traesnor2b03g01055860
amino acid metabolism.synthesis.aromatic aa.chorismate.dehydroquinate/shikimate dehydrogenase	0.795204795204795	1	0.0231538258045259	0.257985583862133	0.637515611147487	5	traesnor3a03g01412670;traesnor5d03g03098340;traesnor3d03g01908200;traesnor3b03g01653880;traesnor5a03g02625640
amino acid metabolism.synthesis.aromatic aa.tryptophan.tryptophan synthase	0.045954045954046	0.367632367632368	0.208955027549354	0.648554240248399	1.64436800286795	6	traesnor7d03g04481450;traesnor1d03g00579920;traesnor3d03g01831930;traesnor3a03g01337450;traesnor7a03g03978040;traesnor7d03g04447560
amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	0.492507492507492	0.974570883661793	0.0463227785794633	0.412301125339542	1.01884919289948	5	traesnor6d03g03783490;traesnor6a03g03389080;traesnor3d03g01897290;traesnor6b03g03596030;traesnor6d03g03783460
amino acid metabolism.synthesis.central amino acid metabolism.GABA.Glutamate decarboxylase	0.457542457542458	0.974570883661793	0.0496901392724606	0.431328598835952	1.06586853100768	5	traesnor4b03g02258550;traesnor2a03g00733440;traesnor3b03g01561600;traesnor3a03g01331350
cell wall.degradation.pectate lyases and polygalacturonases	0.272727272727273	0.884346422807961	0.0745500777420554	0.516474651455084	1.27627539545205	5	traesnor5a03g02622770;traesnor3d03g01998390;traesnor5b03g02943970
cell.cycle.peptidylprolyl isomerase	0.584415584415584	1	0.0384786917635432	0.302592997278391	0.93599783268392	22	traesnor3d03g01985820;traesnor5d03g03238220;traesnor7d03g04422770;traesnor6a03g03413920;traesnor4d03g02431830;traesnor2b03g01055170
cell.division	0.819180819180819	1	0.0214353576364558	0.243476233266386	0.708331823619133	14	traesnor2a03g00653950;traesnor6d03g03781790
cell.organisation	0.808191808191808	1	0.0222267787552589	0.23269593339613	0.778022652280936	39	traesnor1a03g00113060;traesnor7d03g04386250;traesnor6d03g03783810;traesnor1b03g00315880;traesnor4a03g02196030;traesnor1d03g00490520;traesnor2a03g00727340;traesnor4d03g02438940;traesnor2b03g01021770;traesnor2a03g00633780;traesnor1d03g00499250;traesnor6b03g03620300;traesnor4b03g02254010;traesnor5b03g02976870;traesnor2b03g01001560;traesnor5a03g02799430;traesnor2d03g01262710;traesnor5d03g03200740;traesnor4d03g02518880;traesnor5a03g02740970;traesnor6a03g03408870;traesnor1b03g00293740;traesnor5d03g03258660;traesnor4d03g02441090;traesnor2a03g00776580;traesnor2d03g01144660;traesnor1b03g00298170;traesnor6b03g03596350
cell.organisation.cytoskeleton.mikrotubuli	0.536463536463537	0.9766403808957	0.0424170054438747	0.392608865389555	0.970187081827411	5	traesnor1d03g00519560;traesnor3d03g01955050
