pathway	NES_norin	padj_norin	size_norin	NES_cadenza	padj_cadenza	size_cadenza	delta_NES
TCA / org transformation.other organic acid transformatons.malic	0.0949327718560454	1	5	1.41211436448694	0.576594137569747	6	-1.31718159263089
lipid metabolism.lipid degradation.beta-oxidation.multifunctional	0.461723280399971	1	5	1.36329145690697	0.656282493017187	5	-0.901568176506996
RNA.processing.RNA helicase	1.00211857541001	0.974570883661793	13	0.123432669073151	1	9	0.878685906336857
not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	0.787863573951042	1	17	1.5913406564759	0.150345128946903	24	-0.803477082524862
protein.degradation.ubiquitin	0.203936300259738	1	16	1.00414550633542	1	17	-0.800209206075679
protein.targeting.secretory pathway.vacuole	1.17060333977292	0.914956011730205	8	0.372844409045897	1	9	0.797758930727025
redox.glutaredoxins	1.2651949800573	0.876083916083916	8	0.478918756003824	1	9	0.786276224053473
signalling.14-3-3 proteins	0.889638655822428	1	7	0.11356582911411	1	6	0.776072826708318
signalling.calcium	0.493923428349115	1	27	1.26945672061187	0.625774225774226	31	-0.77553329226275
transport.misc	0.503639902823111	1	10	1.20486786819559	0.805394605394605	12	-0.701227965372479
secondary metabolism.flavonoids.chalcones	1.73194472003645	0.335664335664336	5	1.06858868196353	1	7	0.663356038072916
protein.degradation.subtilases	0.876442865327985	1	10	1.5393888378195	0.378692735835593	10	-0.662945972491514
misc.GCN5-related N-acetyltransferase	1.50717655440465	0.557442557442557	8	0.856464138419192	1	10	0.650712415985462
Biodegradation of Xenobiotics	0.716539171095891	1	8	1.35547598772221	0.625774225774226	10	-0.638936816626319
protein.aa activation	0.411338016276962	1	6	1.01558590152053	1	5	-0.604247885243573
protein.targeting.mitochondria	0.165619299752735	1	22	0.762853032967178	1	23	-0.597233733214443
protein.synthesis.elongation	1.15972858484312	0.889827153978097	21	0.57482629189694	1	23	0.584902292946181
lipid metabolism.lipid transfer proteins etc	1.70585694501898	0.318380010178616	7	1.1253270614547	0.982697302697303	6	0.580529883564283
PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase	1.01013988925431	0.974570883661793	6	1.5579367710325	0.378692735835593	7	-0.54779688177819
major CHO metabolism.degradation.sucrose.hexokinase	0.785773698557785	1	6	0.247496843101446	1	6	0.538276855456339
OPP.oxidative PP.6-phosphogluconate dehydrogenase	0.144316991558938	1	5	0.666239109892126	1	6	-0.521922118333188
protein.degradation.ubiquitin.E3.RING	0.992010215492148	0.975639744870514	5	0.472560853791082	1	5	0.519449361701066
hormone metabolism.jasmonate.synthesis-degradation.12-Oxo-PDA-reductase	2.20359100732517	0.00613250973288141	5	1.69784622630783	0.225974025974026	5	0.505744781017342
PS.lightreaction.photosystem I.LHC-I	1.02227412704071	0.974570883661793	7	1.52248428958091	0.3998001998002	8	-0.500210162540201
