pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Biodegradation of Xenobiotics	0.30186170212766	0.606505771248688	0.0843144320642653	0.570681626077616	1.16325440608905	11	traescad_scaffold_125814_01g000100;traescad_scaffold_108469_01g000100;traescad_scaffold_100994_01g000100;traescad_scaffold_087135_01g000100;traescad_scaffold_031718_01g000200
Biodegradation of Xenobiotics.lactoylglutathione lyase	0.195121951219512	0.520438035346417	0.175204047558551	-0.621538803799148	-1.31161106739486	6	traescad_scaffold_014112_01g000200;traescad_scaffold_049302_01g000100;traescad_scaffold_122886_01g000100;traescad_scaffold_015725_01g000100
Co-factor and vitamine metabolism	0.336	0.623505154639175	0.151148761385484	-0.40905586120016	-1.09631622717766	11	traescad_scaffold_036532_01g000400;traescad_scaffold_078874_01g000100
Co-factor and vitamine metabolism.iron-sulphur clusters	0.512618296529968	0.794108866553886	0.0658311958368866	0.565442043557	0.994053276335141	5	traescad_scaffold_035927_01g000200;traescad_scaffold_049639_01g000100;traescad_scaffold_018317_01g000100;traescad_scaffold_002921_01g000700;traescad_scaffold_059059_01g000200
DNA.repair	0.528795811518325	0.801533408912939	0.0554793308704233	0.474302472044454	0.983871964969976	12	traescad_scaffold_029900_01g000200;traescad_scaffold_057874_01g000100;traescad_scaffold_050609_01g000100;traescad_scaffold_001169_01g000300;traescad_scaffold_082128_01g000100
DNA.synthesis/chromatin structure	0.259259259259259	0.543440756331516	0.241339976815091	-0.338460967595709	-1.13483420456573	25	traescad_scaffold_129601_01g000100;traescad_scaffold_079699_01g000100;traescad_scaffold_014191_01g000600;traescad_scaffold_010880_01g000600
DNA.synthesis/chromatin structure.histone.core.H2A	0.329896907216495	0.623505154639175	0.140406238523342	-0.507946345189004	-1.12362843669405	7	traescad_scaffold_051037_01g000100
DNA.unspecified	0.668848167539267	0.866134317676749	0.0446854397644147	0.422902161673615	0.877249445912381	12	traescad_scaffold_047235_01g000100;traescad_scaffold_125972_01g000100;traescad_scaffold_134477_01g000100;traescad_scaffold_033440_01g000300;traescad_scaffold_072273_01g000200
N-metabolism.ammonia metabolism.glutamine synthetase	0.823343848580442	0.932087375751443	0.0437125833579551	0.40044289267825	0.703982970470091	5	traescad_scaffold_016796_01g000100;traescad_scaffold_052954_01g000300;traescad_scaffold_075358_01g000100
OPP.electron transfer	0.60410094637224	0.866134317676749	0.0579754757571486	0.521209025932293	0.916291149176307	5	traescad_scaffold_097937_01g000300;traescad_scaffold_003927_01g000300
OPP.oxidative PP.6-phosphogluconate dehydrogenase	0.249258160237389	0.540483255616787	0.101713902282311	0.664360405097629	1.22091108955987	6	traescad_scaffold_149447_01g000200;traescad_scaffold_055130_01g000100
OPP.oxidative PP.G6PD	0.652996845425868	0.866134317676749	0.0543434390269162	0.496941232019159	0.873628102939023	5	traescad_scaffold_071469_01g000100;traescad_scaffold_006981_01g000600
