pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Biodegradation of Xenobiotics	0.127572016460905	0.842490842490843	0.178219874951973	-0.576136196546489	-1.36778051244427	11	traescad_scaffold_072110_01g000200;traescad_scaffold_014298_01g000100;traescad_scaffold_013286_01g000100;traescad_scaffold_031718_01g000200;traescad_scaffold_004110_01g000600
Biodegradation of Xenobiotics.lactoylglutathione lyase	0.78714859437751	0.972015322409023	0.0568864160475701	-0.383874051222373	-0.744505620997159	6	traescad_scaffold_015725_01g000100;traescad_scaffold_080628_01g000200;traescad_scaffold_049302_01g000100
Co-factor and vitamine metabolism	0.992248062015504	0.995910020449898	0.0445961615888961	0.210564079709767	0.498797090351789	11	traescad_scaffold_009349_01g000100;traescad_scaffold_035954_01g000200;traescad_scaffold_036532_01g000400;traescad_scaffold_098002_01g000400;traescad_scaffold_061920_01g000300
Co-factor and vitamine metabolism.iron-sulphur clusters	0.697341513292434	0.931726907630522	0.0635007968065945	0.446877191155558	0.827768261758803	5	traescad_scaffold_035927_01g000200;traescad_scaffold_018317_01g000100
DNA.repair	0.729124236252546	0.955997904662127	0.0611692626746689	-0.331579892489855	-0.806702639570136	12	traescad_scaffold_023857_01g000600;traescad_scaffold_048537_01g000200;traescad_scaffold_082128_01g000100;traescad_scaffold_014758_01g000200;traescad_scaffold_029900_01g000200
DNA.synthesis/chromatin structure	0.322820037105751	0.842490842490843	0.0995791200495904	0.36689967458095	1.07924770633267	25	traescad_scaffold_015824_01g000100;traescad_scaffold_007035_01g000200;traescad_scaffold_101734_01g000100;traescad_scaffold_001925_01g000100;traescad_scaffold_104053_01g000100;traescad_scaffold_004273_01g000100;traescad_scaffold_174811_01g000100;traescad_scaffold_014191_01g000600;traescad_scaffold_044648_01g000100
DNA.synthesis/chromatin structure.histone.core.H2A	0.732931726907631	0.955997904662127	0.0602484086158019	0.375391375314851	0.784096569058741	7	traescad_scaffold_084976_01g000500;traescad_scaffold_023873_01g000100;traescad_scaffold_027835_01g000100;traescad_scaffold_075607_01g000100;traescad_scaffold_023763_01g000100;traescad_scaffold_051037_01g000100
DNA.unspecified	0.913894324853229	0.985977212971078	0.0487989701682839	0.279508186688518	0.676180094366099	12	traescad_scaffold_076466_01g000100;traescad_scaffold_059919_01g000200;traescad_scaffold_010540_01g000100;traescad_scaffold_134477_01g000100;traescad_scaffold_033440_01g000300;traescad_scaffold_117957_01g000100
N-metabolism.ammonia metabolism.glutamine synthetase	0.842105263157895	0.983825989960959	0.0523759084097997	-0.360078470215952	-0.664390345608612	5	traescad_scaffold_052954_01g000300;traescad_scaffold_035357_01g000500
OPP.electron transfer	0.901840490797546	0.983825989960959	0.0514264916187015	0.343769183694652	0.636777229326319	5	traescad_scaffold_050281_01g000200;traescad_scaffold_097937_01g000300;traescad_scaffold_003927_01g000300
OPP.oxidative PP.6-phosphogluconate dehydrogenase	0.68452380952381	0.926423200859291	0.0629394692018967	0.410761977888455	0.816769149959246	6	traescad_scaffold_088779_01g000100;traescad_scaffold_149447_01g000200;traescad_scaffold_106618_01g000100
OPP.oxidative PP.G6PD	0.556237218813906	0.848497452427992	0.0747385227439092	0.506782777267623	0.938733743701166	5	traescad_scaffold_012737_01g000300;traescad_scaffold_063958_01g000100;traescad_scaffold_008779_01g000100
PS.calvin cycle.rubisco interacting	0.323529411764706	0.842490842490843	0.102821842840815	0.48062495390881	1.11658264506194	10	traescad_scaffold_087937_01g000100;traescad_scaffold_053930_01g000100;traescad_scaffold_010042_01g000100;traescad_scaffold_053447_01g000200
PS.lightreaction.NADH DH	0.468992248062016	0.842490842490843	0.0808589150280032	0.420293864595127	0.99561785201787	11	traescad_scaffold_041610_01g000300;traescad_scaffold_060817_01g000400;traescad_scaffold_028048_01g000400;traescad_scaffold_005326_01g000200;traescad_scaffold_060817_01g000300
PS.lightreaction.cyclic electron flow-chlororespiration	0.393346379647749	0.842490842490843	0.0911073131586733	0.435394032723895	1.05329572497196	12	traescad_scaffold_013918_01g000100;traescad_scaffold_032477_01g000400;traescad_scaffold_004779_01g000300;traescad_scaffold_077669_01g000300;traescad_scaffold_071423_01g000200;traescad_scaffold_042180_01g000200;traescad_scaffold_033148_01g000200
PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase	0.765060240963855	0.972015322409023	0.0582216241124161	0.358015410151719	0.747802622089211	7	traescad_scaffold_007903_01g000500
PS.lightreaction.photosystem I.LHC-I	0.885826771653543	0.983825989960959	0.0504983044100709	-0.306815770623846	-0.657452234444807	8	traescad_scaffold_083808_01g000100
PS.lightreaction.photosystem I.PSI polypeptide subunits	0.268101761252446	0.842490842490843	0.114750719227023	0.478773816723709	1.15823915001468	12	traescad_scaffold_004576_01g000400;traescad_scaffold_008522_01g000100;traescad_scaffold_163630_01g000300;traescad_scaffold_008622_01g000600;traescad_scaffold_019431_01g000200
PS.lightreaction.photosystem II.LHC-II	0.335849056603774	0.842490842490843	0.0982123351217438	0.355431908515985	1.08844173260915	30	traescad_scaffold_086846_01g000100;traescad_scaffold_084877_01g000100;traescad_scaffold_085614_01g000300;traescad_scaffold_024921_01g000300;traescad_scaffold_057623_01g000300;traescad_scaffold_002471_01g000300;traescad_scaffold_049398_01g000200;traescad_scaffold_076572_01g000100;traescad_scaffold_103431_01g000100;traescad_scaffold_016381_01g000500
PS.lightreaction.photosystem II.PSII polypeptide subunits	0.513761467889908	0.842490842490843	0.0732558655828455	0.289094562730671	0.946640825884206	39	traescad_scaffold_000207_01g000600;traescad_scaffold_018338_01g000100;traescad_scaffold_029119_01g000100;traescad_scaffold_040522_01g000200;traescad_scaffold_044332_01g000100;traescad_scaffold_088799_01g000100;traescad_scaffold_008792_01g000500;traescad_scaffold_062650_01g000200;traescad_scaffold_024572_01g000500;traescad_scaffold_002883_01g000300;traescad_scaffold_065351_01g000100;traescad_scaffold_057056_01g000300;traescad_scaffold_019923_01g000300;traescad_scaffold_037411_01g000200
RNA.RNA binding	0.890466531440162	0.983825989960959	0.05163559644842	-0.218253242065138	-0.788454788291073	67	traescad_scaffold_025278_01g000100;traescad_scaffold_078060_01g000100;traescad_scaffold_326283_01g000100;traescad_scaffold_081924_01g000200;traescad_scaffold_091117_01g000100;traescad_scaffold_059421_01g000200;traescad_scaffold_011627_01g000100;traescad_scaffold_031506_01g000300;traescad_scaffold_012023_01g000400;traescad_scaffold_057036_01g000100;traescad_scaffold_037676_01g000500;traescad_scaffold_022164_01g000100;traescad_scaffold_028220_01g000100;traescad_scaffold_024316_01g000100;traescad_scaffold_020141_01g000100;traescad_scaffold_005898_01g000200;traescad_scaffold_077025_01g000100;traescad_scaffold_012676_01g000400;traescad_scaffold_024802_01g000100;traescad_scaffold_047281_01g000100;traescad_scaffold_075828_01g000100;traescad_scaffold_016495_01g000800;traescad_scaffold_095534_01g000100;traescad_scaffold_056160_01g000100;traescad_scaffold_090041_01g000100;traescad_scaffold_076583_01g000100;traescad_scaffold_058352_01g000200;traescad_scaffold_029281_01g000200;traescad_scaffold_014309_01g000200
RNA.processing	0.51498127340824	0.842490842490843	0.0741758965588009	0.328846306404213	0.953177107366262	24	traescad_scaffold_040729_01g000100;traescad_scaffold_032294_01g000300;traescad_scaffold_030239_01g000100
RNA.processing.RNA helicase	0.0667976424361493	0.842490842490843	0.245041785430996	-0.674717266369323	-1.51374530176621	9	traescad_scaffold_065388_01g000100;traescad_scaffold_009913_01g000200
