pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Biodegradation of Xenobiotics	0.783673469387755	0.949073280611121	0.0578529757032509	-0.33927029465838	-0.76295420468261	9	traesnor5b03g02932360;traesnor3b03g01608760;traesnor5d03g03162200;traesnor2a03g00632610;traesnor2d03g01143060
Co-factor and vitamine metabolism	0.108481262327416	0.91752417794971	0.190023305279108	-0.584462048331175	-1.36296738822489	10	traesnor2d03g01204900;traesnor1d03g00513210;traesnor5d03g03200810
Co-factor and vitamine metabolism.iron-sulphur clusters	0.978723404255319	0.984615384615385	0.0451344222209097	0.262627338969057	0.512271677358642	5	traesnor5d03g03109550;traesnor7b03g04206020;traesnor5d03g03135930
DNA.repair	0.623481781376518	0.949073280611121	0.0684714904492087	-0.361037428906278	-0.885488734943487	12	traesnor5b03g02963390;traesnor7d03g04393560;traesnor5d03g03208290;traesnor3a03g01458590
DNA.synthesis/chromatin structure	0.697959183673469	0.949073280611121	0.0633597010643758	-0.278203999525554	-0.846634426007482	30	traesnor6d03g03807430;traesnor1b03g00369510;traesnor2d03g01228390;traesnor6d03g03762980;traesnorun03g04588240;traesnor1d03g00556850;traesnor3a03g01338200
DNA.synthesis/chromatin structure.histone.core.H2A	0.370808678500986	0.949073280611121	0.0949751525905595	-0.463735050273037	-1.08143163803997	10	traesnor6a03g03307370;traesnor7a03g03894000;traesnor4d03g02525880
DNA.unspecified	0.122736418511066	0.91752417794971	0.179782316298324	-0.508404992135978	-1.34322296559981	15	traesnor6b03g03541320;traesnor2d03g01234670;traesnor4a03g02154280;traesnor1b03g00295520
OPP.electron transfer	0.243809523809524	0.949073280611121	0.119348440591015	0.594237232009979	1.22476425216755	6	traesnor2d03g01198870;traesnor5d03g03249030;traesnor2d03g01217100;traesnor2b03g00972290;traesnor5b03g03001890
OPP.oxidative PP.6-phosphogluconate dehydrogenase	0.655670103092784	0.949073280611121	0.0668966276500666	-0.446358596124912	-0.845381812155883	5	traesnor7d03g04328170;traesnor3b03g01803200
OPP.oxidative PP.G6PD	0.359767891682785	0.949073280611121	0.0956031492204301	0.574809230086072	1.12120272631676	5	traesnor6d03g03729850;traesnor2b03g00855420
PS.calvin cycle.aldolase	0.613152804642166	0.949073280611121	0.0670512579829467	0.446232939940507	0.870406323779319	5	traesnor5b03g02870640;traesnor4b03g02284450
PS.calvin cycle.rubisco interacting	0.771428571428571	0.949073280611121	0.0585937568945671	-0.345408042357127	-0.776756828984733	9	traesnor4d03g02474900;traesnor1d03g00579620
PS.lightreaction.NADH DH	0.41501976284585	0.949073280611121	0.0886261133285098	0.438909197833414	1.04431375036711	11	traesnor5d03g03158690;traesnor2a03g00760560
