feature	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_000005_01G000100	-0.411618387190704	0.0429602322287584	0.891708272614414	0.48
TraesCAD_scaffold_031320_01G000600	0.820263951011628	-0.0288680996195943	0.869242431590899	0.47
TraesCAD_scaffold_003938_01G000300	-1.18207980363597	-0.0181407917153939	0.797465687328524	0.51
TraesCAD_scaffold_000016_01G000300	-0.196595601752944	0.0124422697519036	0.810052063239168	0.52
TraesCAD_scaffold_000018_01G001700	0.827186601206696	0.0839630034021859	0.96206053560998	0.56
TraesCAD_scaffold_000022_01G000100	0.707952051017893	0.0344260806363198	0.956086264297569	0.44
TraesCAD_scaffold_000030_01G000100	-0.428563146190703	0.0874693287677178	0.815540458196009	0.44
TraesCAD_scaffold_000030_01G000400	-0.219168887617247	0.0405105434956306	0.73833040807734	0.53
TraesCAD_scaffold_000043_01G000600	-0.309207556280417	-0.105575403533	0.923051029073098	0.5
TraesCAD_scaffold_000050_01G000700	0.246384209505239	0.0784951745361453	0.878463695816997	0.52
TraesCAD_scaffold_013930_01G000200	0.0203963421537116	0.0451341335107476	0.895236120384196	0.42
TraesCAD_scaffold_072757_01G000200	-0.0898099752213226	0.0580832510247361	0.936092883117847	0.5
TraesCAD_scaffold_051880_01G000100	-0.31092670186774	-0.0836969780789432	0.731601127178536	0.55
TraesCAD_scaffold_000077_01G000100	-0.630944174803467	-0.0473352605318601	0.808621510453899	0.5
TraesCAD_scaffold_000081_01G000100	0.00769942780618167	0.0269912166354023	0.766098471369587	0.48
TraesCAD_scaffold_086212_01G000100	0.509238988716847	0.0318897101671459	0.799164931186905	0.5
TraesCAD_scaffold_000091_01G000300	-2.0290060371137	-0.182272471554162	0.824001028880856	0.58
TraesCAD_scaffold_000092_01G000200	0.669274857930696	-0.0617498667314027	0.821647774187319	0.46
TraesCAD_scaffold_000099_01G000100	-0.00460769690303772	0.118257087734381	0.884861813004002	0.41
TraesCAD_scaffold_068744_01G000200	0.0315763169162235	-0.0224990163751971	0.892330793579264	0.52
TraesCAD_scaffold_000102_01G000200	1.0783535697685	0.0170155255956374	0.81567333610817	0.48
TraesCAD_scaffold_054192_01G000100	0.489428882040438	0.0963450330063483	0.763477630092575	0.55
TraesCAD_scaffold_000103_01G000400	0.008004117418428	0.168579283242216	0.785802345167934	0.55
TraesCAD_scaffold_574252_01G000100	0.059146367056303	0.0583062071931563	0.902893031509912	0.55
TraesCAD_scaffold_000107_01G000200	-0.966896320696588	-0.0298667372950646	0.868170547994539	0.5
TraesCAD_scaffold_000119_01G000400	0.0275116151193565	0.0886896030307196	0.86848903518819	0.53
TraesCAD_scaffold_000119_01G000600	-0.0328579168583696	0.0740576915910637	0.948923245163773	0.45
TraesCAD_scaffold_066353_01G000100	0.419135944834822	0.0959773089577213	0.824280162864261	0.53
TraesCAD_scaffold_025542_01G000100	2.11408850534869	-0.0534736694332662	0.858526680887694	0.48
TraesCAD_scaffold_000165_01G000100	-0.111832109148198	0.0783005114916937	0.925465746794746	0.4
TraesCAD_scaffold_000167_01G000200	0.00464685836083651	0.0571061093399519	0.805587892635687	0.5
TraesCAD_scaffold_000174_01G001000	-0.814195043936396	0.0420279731126426	0.720821475943492	0.44
TraesCAD_scaffold_000178_01G000200	0.0220091548766544	0.0197279484850316	0.89319144227724	0.5
TraesCAD_scaffold_036315_01G000300	0.0364885474005441	0.0982150317593621	0.787304701857471	0.56
TraesCAD_scaffold_015654_01G000200	-0.296171253569944	0.0108356004038875	0.782610601747475	0.51
TraesCAD_scaffold_023873_01G000100	0.722928305933474	0.0334106834732379	0.747583826172612	0.52
TraesCAD_scaffold_013596_01G000100	0.3342752772875	-0.129694448213224	0.874937538810897	0.47
TraesCAD_scaffold_000195_01G000200	0.31637680454357	-0.0758072884888438	0.930810216932721	0.45
TraesCAD_scaffold_000198_01G000100	-0.41490596370094	0.0766560178782656	0.855671339860235	0.52
TraesCAD_scaffold_023287_01G000200	0.0544950679880186	-0.118903047513106	0.88789151767705	0.48
TraesCAD_scaffold_000207_01G000400	0.956993071164373	-0.0894145031627795	0.683146949907093	0.41
TraesCAD_scaffold_000207_01G000600	1.48092299784329	0.022237476298018	0.790938423099963	0.48
TraesCAD_scaffold_000214_01G000100	0.00612010185968122	-0.0923602622411414	0.802356542001488	0.52
TraesCAD_scaffold_000220_01G000100	-0.022991002438161	0.0126850051545128	0.854616114923645	0.54
TraesCAD_scaffold_000221_01G000100	0.488632296359395	0.0012666874229063	0.748869356665292	0.52
TraesCAD_scaffold_009934_01G000100	-1.04087304432324	-0.132856055062444	0.82410029002255	0.53
TraesCAD_scaffold_000224_01G000800	0.988828206068331	-0.0905900843376805	0.828262734451122	0.45
TraesCAD_scaffold_051182_01G000100	-0.00811932659020393	-0.0983732695330705	0.740713991608293	0.55
TraesCAD_scaffold_000224_01G001400	0.00788928524022089	0.025554641365964	0.86334394436338	0.5
TraesCAD_scaffold_000243_01G002200	0.282145948654235	0.158221880028373	0.883597822854472	0.54
TraesCAD_scaffold_115519_01G000100	-0.0680863185753896	0.00862462160257878	0.867855230845868	0.45
TraesCAD_scaffold_000250_01G001200	0.474383354834944	-0.0270652379214982	0.929517806663	0.53
TraesCAD_scaffold_000271_01G000300	-0.174037952826214	0.145726211976466	0.93604103806408	0.37
TraesCAD_scaffold_000277_01G000100	-1.59853991634056	0.123677384758957	0.885513474919224	0.48
TraesCAD_scaffold_078502_01G000100	0.0110524791184226	0.0137248974637962	1.01492274210176	0.55
TraesCAD_scaffold_060353_01G000300	-0.971182587551142	-0.0638432934470322	0.882814807705284	0.52
TraesCAD_scaffold_011990_01G000200	-0.104015742785968	0.015887432104699	0.838160983278627	0.53
TraesCAD_scaffold_048789_01G000200	0.513527767957445	-0.0325040007708167	0.869968091487552	0.47
TraesCAD_scaffold_000310_01G000500	0.0165266507890393	-0.0351280794891379	0.887355242333335	0.47
TraesCAD_scaffold_021666_01G000200	0.0170704433877927	0.028858545420597	0.845901502830175	0.48
TraesCAD_scaffold_000322_01G000200	-2.65821260767201	0.0517251708289245	0.814367305478962	0.44
TraesCAD_scaffold_000327_01G000300	-1.73158164675943	-0.195602988362575	0.778938494114782	0.53
TraesCAD_scaffold_000327_01G000400	0.256432984669772	0.0881401910742299	0.935239650874541	0.5
TraesCAD_scaffold_000332_01G000900	0.641022725331245	-0.0389892085303317	0.787114715189102	0.51
TraesCAD_scaffold_000349_01G000500	0.985351923590669	-0.118272563911456	0.832768021091967	0.51
TraesCAD_scaffold_000354_01G000300	0.0452246186405015	-0.0294162955520758	0.776416771803998	0.49
TraesCAD_scaffold_000354_01G000400	-0.0310103202275297	0.0811280306156485	0.898468698193594	0.43
TraesCAD_scaffold_000355_01G000700	0.452274889229698	0.0709623591784717	0.898820656792298	0.51
TraesCAD_scaffold_000360_01G001100	-0.00830786587676602	0.0485549596501636	0.843182836062028	0.5
TraesCAD_scaffold_000367_01G000100	-0.399035013153919	0.120910286995538	0.816307040271364	0.44
TraesCAD_scaffold_000372_01G000100	1.11432446322176	-0.0671881382304425	0.981804427516312	0.46
TraesCAD_scaffold_019651_01G000400	-0.459780259146932	0.0181176655303738	0.777960148298881	0.51
TraesCAD_scaffold_000382_01G000500	0.22777205998776	-0.0606365403411619	0.816807395661811	0.48
