feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_000005_01G000100	1	0.00858590076319963	0.00842032646898676	0.00222984816672052	1
TraesCAD_scaffold_031320_01G000600	1	-0.00114497633935367	-0.00117030063084518	0.00166852138833846	0.755
TraesCAD_scaffold_003938_01G000300	1	-0.00199615806679406	-0.00182932795514172	0.00153759544619159	0.9
TraesCAD_scaffold_000016_01G000300	1	0.00445968726074077	0.00447551168055424	0.00130114727824456	1
TraesCAD_scaffold_000018_01G001700	1	0.00664354508607371	0.00658982267394222	0.00217703151805444	1
TraesCAD_scaffold_000022_01G000100	1	-0.00141681781729813	-0.0012264444000598	0.000905298996113504	0.92
TraesCAD_scaffold_000030_01G000100	1	0.0542234259538943	0.0529696325410204	0.00302884276206451	1
TraesCAD_scaffold_000030_01G000400	1	0.0553145669057193	0.0542500728071338	0.00214857863660631	1
TraesCAD_scaffold_000043_01G000600	1	-0.00271770753743985	-0.0025871235743306	0.00104454235947236	0.995
TraesCAD_scaffold_000050_01G000700	1	0.0151419852956367	0.0151217397075096	0.00302293402518275	1
TraesCAD_scaffold_013930_01G000200	1	0.00316342453880452	0.00294378163159618	0.00339255710342587	0.83
TraesCAD_scaffold_072757_01G000200	1	0.00618390475682725	0.00609279640226656	0.00311317111016497	0.96
TraesCAD_scaffold_051880_01G000100	1	-0.0115103494536315	-0.0113708363366505	0.00117135143036667	1
TraesCAD_scaffold_000077_01G000100	1	-0.00391606109851076	-0.00389313216394509	0.0011699556192908	1
TraesCAD_scaffold_000081_01G000100	1	0.0123178863700417	0.0123079162740129	0.00294048419582256	1
TraesCAD_scaffold_086212_01G000100	1	0.00021048444712165	9.91975452070465e-05	0.00228051309858753	0.54
TraesCAD_scaffold_000091_01G000300	1	0.00393933243923161	0.00415433432939573	0.00237439877704439	0.98
TraesCAD_scaffold_000092_01G000200	1	0.00134999275176745	0.00149786094183834	0.0036614122603831	0.685
TraesCAD_scaffold_000099_01G000100	1	0.010778833833725	0.0103363570964482	0.0021831414772941	1
TraesCAD_scaffold_068744_01G000200	1	0.00946334190522935	0.0093720408969399	0.000851647225699548	1
TraesCAD_scaffold_000102_01G000200	1	-0.00353786820347262	-0.00319200626556917	0.00321476219285179	0.84
TraesCAD_scaffold_054192_01G000100	1	0.00467159114530715	0.00459816131143419	0.00101876250407982	1
TraesCAD_scaffold_000103_01G000400	1	-0.00476317019778276	-0.00444632411626413	0.00262346692868168	0.95
TraesCAD_scaffold_574252_01G000100	1	-0.00164074124226757	-0.00151845349340508	0.00254590639885601	0.71
TraesCAD_scaffold_000107_01G000200	1	0.00306169632411503	0.00325537539123658	0.00326681096025613	0.835
TraesCAD_scaffold_000119_01G000400	1	0.00163038564181259	0.00157990370747925	0.00135560197365367	0.895
TraesCAD_scaffold_000119_01G000600	1	-0.00821747050719077	-0.00810426608963039	0.00196599351570374	1
TraesCAD_scaffold_066353_01G000100	1	-0.000216366206310944	-0.000109832917682315	0.00120413270234092	0.545
TraesCAD_scaffold_025542_01G000100	1	-0.0203952205820826	-0.0203958624970997	0.00416339587810922	1
TraesCAD_scaffold_000165_01G000100	1	-0.00381570454386099	-0.00362318583342683	0.0008225663464344	1
TraesCAD_scaffold_000167_01G000200	1	-0.00315750072183415	-0.00296100772502136	0.00183095734879402	0.93
TraesCAD_scaffold_000174_01G001000	1	-0.00926390634427756	-0.00904329350872705	0.00172474817370538	1
TraesCAD_scaffold_000178_01G000200	1	0.0115495922818272	0.0114010001774599	0.00110781424776455	1
TraesCAD_scaffold_036315_01G000300	1	0.00606792223176304	0.00598498428722418	0.00278814568701076	0.995
TraesCAD_scaffold_015654_01G000200	1	0.0293366747271726	0.028648249723027	0.00180373102007371	1
TraesCAD_scaffold_023873_01G000100	1	0.000172432318780381	-0.000102380403566282	0.00356700672932391	0.52
TraesCAD_scaffold_013596_01G000100	1	0.0291993290183219	0.0288619451913949	0.00162264074062062	1
TraesCAD_scaffold_000195_01G000200	1	0.0119884560940905	0.0119148163404778	0.00148362330592376	1
TraesCAD_scaffold_000198_01G000100	1	0.00226254699094689	0.00209480041241916	0.00302797555007185	0.72
TraesCAD_scaffold_023287_01G000200	1	0.00174984797648577	0.00177101549614429	0.00177152669187207	0.845
TraesCAD_scaffold_000207_01G000400	1	-0.00188538948672069	-0.00180266409041944	0.00109803610412547	0.975
TraesCAD_scaffold_000207_01G000600	1	-0.00579665289924086	-0.00559082919359175	0.0028078067407638	0.965
TraesCAD_scaffold_000214_01G000100	1	-0.00734645000113459	-0.00681002493302857	0.00440601637830762	0.935
TraesCAD_scaffold_000220_01G000100	1	-0.00594907217088216	-0.00583704729375242	0.00116723021840566	1
TraesCAD_scaffold_000221_01G000100	1	0.00245230703398295	0.00237027856429765	0.00246182629500458	0.815
