feature	component	loading	boot_mean	boot_sd	stability
TraesCAD_scaffold_014747_01G000100	1	0.0690501666036633	0.069106904376453	0.00138746021226198	1
TraesCAD_scaffold_020687_01G000400	1	0.0534971549655367	0.0535423133505009	0.000739689085279724	1
TraesCAD_scaffold_133124_01G000100	1	0.0562367336895631	0.0561376231733517	0.00121929166611035	1
TraesCAD_scaffold_084182_01G000100	1	0.0513923158327093	0.0513629063164681	0.00119424323285134	1
TraesCAD_scaffold_052789_01G000100	1	0.0487161219247969	0.0488824829173538	0.00171302906312105	1
TraesCAD_scaffold_020687_01G000500	1	0.0467679945197701	0.0467707540443723	0.00130063543963311	1
TraesCAD_scaffold_077573_01G000100	1	0.04531197242926	0.0455012246659555	0.00198259740457156	1
TraesCAD_scaffold_030935_01G000600	1	0.0490295884618436	0.0488751804346199	0.000803070880943029	1
TraesCAD_scaffold_002077_01G000300	1	0.0470123248823986	0.046997684773835	0.00104215404208173	1
TraesCAD_scaffold_033902_01G000200	1	0.0459700402220998	0.0459137416010471	0.00149755764684035	1
TraesCAD_scaffold_092070_01G000200	1	0.0415921914960167	0.0418383083111689	0.00184565546123834	1
TraesCAD_scaffold_011409_01G000200	1	0.0307824325768215	0.0310611117390674	0.00272861185294699	1
TraesCAD_scaffold_011409_01G000100	1	0.0371830470543884	0.0373196283617698	0.00347352283260013	1
TraesCAD_scaffold_149528_01G000200	1	0.0439782533089101	0.0441563940270344	0.00124588206028154	1
TraesCAD_scaffold_084164_01G000200	1	0.0443055340954456	0.0443763730496717	0.00214365404013238	1
TraesCAD_scaffold_111708_01G000100	1	0.0348340279032753	0.0348181952060893	0.00245800102892528	1
TraesCAD_scaffold_149528_01G000100	1	0.0417768300336201	0.0419616013752396	0.00131870379599001	1
TraesCAD_scaffold_055571_01G000300	1	0.0440954505498038	0.0441477620544542	0.00218290111317787	1
TraesCAD_scaffold_008402_01G000100	1	0.0319638669979012	0.0323060355792823	0.00243348567703517	1
TraesCAD_scaffold_038550_01G000200	1	0.0280743199916399	0.0284132877142203	0.00152385298642437	1
