cell	treatment	time	component	rna_score	rna_lo	rna_hi	prot_score	prot_lo	prot_hi
Ctrl_t0	Ctrl	0	1	0.732090186709773	0.711880581964675	0.730328588474516	0.536636032890087	0.457707992686993	0.555707465983156
Ctrl_t6	Ctrl	6	1	0.691185463226532	0.67270701941446	0.690532366151232	0.553954957847231	0.479646362168648	0.582918601217611
Ctrl_t24	Ctrl	24	1	0.683090663553524	0.66384068912686	0.683678398092724	0.525670626398464	0.449998209679894	0.535874169664644
Ctrl_t48	Ctrl	48	1	0.683355669239774	0.662790310539355	0.684984900627214	0.495948952827019	0.428701328868745	0.524498262548255
Trt_t0	Trt	0	1	0.736302023759817	0.714470074658847	0.741151868789061	0.533278168865807	0.466370390040776	0.588228350426265
Trt_t6	Trt	6	1	-1.04191397266731	-1.04228289814502	-1.01063936687475	-0.332492964403577	-0.421663785833966	-0.27297489858035
Trt_t24	Trt	24	1	-1.38114145642383	-1.37637786819422	-1.34600921485367	-1.10167234872036	-1.15036001514267	-0.970534601168638
Trt_t48	Trt	48	1	-1.10296857739828	-1.10271140933932	-1.07550558049892	-1.21132342570468	-1.19773733135274	-1.04133098537975
Ctrl_t0	Ctrl	0	2	0.00220726753823381	-0.0123451453590892	0.0186545626625356	-0.015462991291851	-0.039360536002785	0.0252674798900721
Ctrl_t6	Ctrl	6	2	-0.0275197484212431	-0.0410199201080175	-0.0193358102578585	-0.0512947473866747	-0.0755605701461913	-0.0252253670333037
Ctrl_t24	Ctrl	24	2	0.00994338027233461	-0.00173265697713647	0.0263284461599548	0.0563138438687066	0.0145634248850982	0.0882477452147656
Ctrl_t48	Ctrl	48	2	0.0419862711510497	0.0324928189423619	0.0551092838972103	0.0659474694382849	0.0391643557951407	0.0945121926119789
Trt_t0	Trt	0	2	0.000791191273668719	-0.0161277286728733	0.0158092788107767	-0.00704134801922356	-0.0508324367523124	0.0335468948600252
Trt_t6	Trt	6	2	-0.592511341180035	-0.633763990682104	-0.582546172784958	-0.899693904029777	-0.979362893346378	-0.81818764218794
Trt_t24	Trt	24	2	0.045712678311015	0.00798895944814451	0.0760827938888171	0.108191168502569	-0.00342130957948744	0.196991229090205
Trt_t48	Trt	48	2	0.519390301054976	0.503895207664337	0.557827324922236	0.743040508917966	0.669491674224701	0.843491351549328
Ctrl_t0	Ctrl	0	3	-0.307134165489303	-0.380095285594089	-0.25221977544185	-0.413795311594837	-0.609068029927404	-0.250328682155043
Ctrl_t6	Ctrl	6	3	0.173176460990381	0.117370453985592	0.246476147483989	0.136344031334048	0.0340823320304881	0.416384419191497
Ctrl_t24	Ctrl	24	3	0.269395410643532	0.22539985135253	0.353003773908453	0.427282324601022	0.290785027601019	0.603616886904242
Ctrl_t48	Ctrl	48	3	0.187723053704241	0.142263861029458	0.25699986216967	0.306850597124386	0.168655726668913	0.485478081103577
Trt_t0	Trt	0	3	-0.30001862946657	-0.384586410207286	-0.258722304716717	-0.41976083594665	-0.691195980976295	-0.303882740721739
Trt_t6	Trt	6	3	-0.0223578682102373	-0.0460931896666409	-0.0029619819253738	-0.0401260560921843	-0.0970158326678155	0.00378813903658243
Trt_t24	Trt	24	3	0.037408084052585	0.0222090827352807	0.0773141113765313	0.0793249228349104	0.0146390604981432	0.1777456090089
Trt_t48	Trt	48	3	-0.0381923462246283	-0.0665923519792696	-0.0242359082772489	-0.0761196722606946	-0.135564710334208	-0.0320859386537307
Ctrl_t0	Ctrl	0	4	-0.0194581877994234	-0.10321031753879	0.0955998920910769	-0.0425267791809664	-0.2000770871892	0.210532779709301
Ctrl_t6	Ctrl	6	4	-0.163512366467879	-0.333077541163093	0.11371880305634	-0.399799047640083	-0.717984100938068	0.259618453392655
Ctrl_t24	Ctrl	24	4	0.00685116023306561	-0.23327344187279	0.224371176973696	0.0195180400635418	-0.533435380031548	0.471801791691303
Ctrl_t48	Ctrl	48	4	0.157314246110757	-0.0483181580108692	0.314534559135383	0.383995860197085	-0.130554822010808	0.700327051520048
