layer	feature	freq
rna	ENSG00003861	1
rna	ENSG00003651	1
rna	ENSG00003688	1
rna	ENSG00002005	1
rna	ENSG00001846	1
rna	ENSG00003868	1
rna	ENSG00003180	1
rna	ENSG00003965	1
rna	ENSG00001870	1
rna	ENSG00002482	1
rna	ENSG00003101	1
rna	ENSG00002708	1
rna	ENSG00003843	1
rna	ENSG00001998	1
rna	ENSG00000658	1
rna	ENSG00003501	1
rna	ENSG00002459	1
rna	ENSG00000208	1
rna	ENSG00000318	1
rna	ENSG00001841	1
rna	ENSG00003919	1
rna	ENSG00003466	1
rna	ENSG00001967	1
rna	ENSG00000597	1
rna	ENSG00001500	1
rna	ENSG00001071	1
rna	ENSG00001907	1
rna	ENSG00000485	1
rna	ENSG00001677	1
rna	ENSG00003416	1
rna	ENSG00001838	1
rna	ENSG00003498	1
rna	ENSG00003645	1
rna	ENSG00003706	1
rna	ENSG00000817	1
rna	ENSG00001089	1
rna	ENSG00003774	1
rna	ENSG00002209	1
rna	ENSG00000629	1
rna	ENSG00000017	1
rna	ENSG00002573	1
rna	ENSG00003870	1
rna	ENSG00000157	1
rna	ENSG00001371	1
rna	ENSG00003434	1
rna	ENSG00003017	1
rna	ENSG00000439	1
rna	ENSG00002705	1
rna	ENSG00000630	1
rna	ENSG00002479	1
rna	ENSG00003500	1
rna	ENSG00001686	1
rna	ENSG00001231	1
rna	ENSG00000651	1
rna	ENSG00001897	1
rna	ENSG00003828	1
rna	ENSG00001397	1
rna	ENSG00003073	1
rna	ENSG00003464	1
rna	ENSG00002225	1
rna	ENSG00002879	1
rna	ENSG00003499	1
rna	ENSG00001605	1
rna	ENSG00003977	1
rna	ENSG00002531	1
rna	ENSG00001625	1
rna	ENSG00000534	1
rna	ENSG00003898	1
rna	ENSG00000377	1
rna	ENSG00000912	1
rna	ENSG00002767	1
rna	ENSG00002896	1
rna	ENSG00001912	1
protein	PG00452	1
protein	PG00843	1
protein	PG00951	1
protein	PG00666	1
protein	PG00835	1
protein	PG01675	1
protein	PG00070	1
protein	PG00980	1
protein	PG00494	1
protein	PG00703	1
protein	PG01016	1
protein	PG00618	1
protein	PG01076	1
protein	PG01459	1
protein	PG01052	1
protein	PG01420	1
protein	PG00100	1
protein	PG01387	1
protein	PG00393b	1
protein	PG00330	1
protein	PG01641	1
protein	PG00393	1
protein	PG00673	1
protein	PG00893	1
protein	PG00441	1
protein	PG00081	1
protein	PG01650	1
protein	PG00106	1
protein	PG00331b	1
protein	PG00789	1
protein	PG00210	1
protein	PG00704	1
protein	PG00669	1
protein	PG00466	1
protein	PG00936	1
protein	PG01032	1
protein	PG01767	1
protein	PG00579	1
protein	PG00666b	1
protein	PG00281	1
protein	PG00148	1
protein	PG00709	1
protein	PG00907	1
protein	PG00486	1
protein	PGSHARED0059	1
protein	PG00798	1
protein	PG01651	1
protein	PG00694	1
protein	PG01602	1
protein	PG00724	1
protein	PG01799	1
protein	PG00581	1
protein	PG01324	1
protein	PG00331	1
protein	PG00466b	1
protein	PG01496	1
protein	PG01457	1
protein	PG01071	1
protein	PG01823	1
protein	PG00602	1
protein	PG01526	1
protein	PG00690	1
protein	PG01629	1
protein	PG01249	1
protein	PG00384	1
protein	PG01188	1
protein	PG00251	1
protein	PG00222	1
protein	PG01120	1
protein	PG00443	1
protein	PGSHARED0069	1
protein	PGSHARED0068	1
protein	PG00209	1
protein	PG01156	1
protein	PG00402	1
protein	PG00908	1
protein	PG01654	1
protein	PG01143	1
protein	PG00414	1
protein	PG00702	1
protein	PG00986	1
protein	PG00273	1
protein	PG01580	1
protein	PG00873	1
protein	PG01199	1
protein	PG01391	1
protein	PG00436	1
protein	PG00937	1
protein	PG01691	1
protein	PG00774	1
protein	PG00757	1
protein	PG01389	1
protein	PG01570	1
protein	PG00357	1
rna	ENSG00002765	0.998
rna	ENSG00001146	0.998
rna	ENSG00003696	0.996
rna	ENSG00001579	0.996
rna	ENSG00003969	0.996
protein	PG00198	0.996
rna	ENSG00002444	0.994
rna	ENSG00002374	0.994
rna	ENSG00001623	0.992
protein	PG01235	0.988
rna	ENSG00003652	0.986
rna	ENSG00002802	0.982
protein	PG01541	0.976
rna	ENSG00000678	0.974
rna	ENSG00002953	0.966
rna	ENSG00000621	0.94
protein	PG00866	0.92
rna	ENSG00000588	0.918
rna	ENSG00000759	0.916
rna	ENSG00000287	0.91
rna	ENSG00003995	0.892
rna	ENSG00003450	0.844
rna	ENSG00001989	0.82
rna	ENSG00001536	0.796
rna	ENSG00003991	0.78
rna	ENSG00000634	0.776
rna	ENSG00003302	0.696
rna	ENSG00000685	0.682
rna	ENSG00002640	0.6
rna	ENSG00001752	0.518
rna	ENSG00002092	0.502
rna	ENSG00003611	0.486
protein	PG00857	0.438
rna	ENSG00003996	0.424
protein	PG00682	0.418
protein	PG01270	0.39
rna	ENSG00000811	0.338
protein	PG00258	0.326
rna	ENSG00003002	0.312
rna	ENSG00003838	0.288
protein	PG01421	0.266
rna	ENSG00000687	0.244
rna	ENSG00002720	0.222
rna	ENSG00000829	0.212
rna	ENSG00000821	0.176
protein	PG00391b	0.17
rna	ENSG00002668	0.126
rna	ENSG00001422	0.118
rna	ENSG00000262	0.116
protein	PG01581	0.108
rna	ENSG00000165	0.102
rna	ENSG00000698	0.088
rna	ENSG00003948	0.076
rna	ENSG00001521	0.054
rna	ENSG00001778	0.044
rna	ENSG00002893	0.032
rna	ENSG00003869	0.028
rna	ENSG00000859	0.014
rna	ENSG00000702	0.01
rna	ENSG00003514	0.01
rna	ENSG00000432	0.006
rna	ENSG00001172	0.004
rna	ENSG00003103	0.004
protein	PG00772	0.004
rna	ENSG00002439	0.002
rna	ENSG00002936	0.002
rna	ENSG00002441	0
rna	ENSG00003357	0
rna	ENSG00003850	0
rna	ENSG00003146	0
rna	ENSG00001980	0
rna	ENSG00003597	0
rna	ENSG00002138	0
rna	ENSG00002692	0
rna	ENSG00003613	0
rna	ENSG00002176	0
rna	ENSG00000854	0
rna	ENSG00002904	0
rna	ENSG00001045	0
rna	ENSG00002483	0
rna	ENSG00000668	0
rna	ENSG00001619	0
rna	ENSG00002962	0
rna	ENSG00000613	0
rna	ENSG00002750	0
rna	ENSG00001905	0
rna	ENSG00003248	0
rna	ENSG00003718	0
rna	ENSG00002941	0
rna	ENSG00003622	0
rna	ENSG00003866	0
rna	ENSG00003743	0
rna	ENSG00001209	0
rna	ENSG00000479	0
rna	ENSG00002027	0
rna	ENSG00003060	0
rna	ENSG00000040	0
rna	ENSG00000803	0
rna	ENSG00001873	0
rna	ENSG00002254	0
rna	ENSG00001539	0
rna	ENSG00000581	0
rna	ENSG00000903	0
rna	ENSG00002532	0
rna	ENSG00000321	0
rna	ENSG00001185	0
rna	ENSG00002754	0
rna	ENSG00002311	0
rna	ENSG00000794	0
rna	ENSG00000196	0
rna	ENSG00000653	0
rna	ENSG00003579	0
rna	ENSG00003921	0
rna	ENSG00002080	0
rna	ENSG00002616	0
rna	ENSG00000667	0
rna	ENSG00003593	0
rna	ENSG00001068	0
rna	ENSG00003680	0
rna	ENSG00002613	0
rna	ENSG00002514	0
rna	ENSG00002057	0
rna	ENSG00000954	0
rna	ENSG00001168	0
rna	ENSG00003016	0
rna	ENSG00000644	0
rna	ENSG00001187	0
rna	ENSG00001578	0
rna	ENSG00000248	0
rna	ENSG00000401	0
rna	ENSG00002866	0
rna	ENSG00003907	0
rna	ENSG00003584	0
rna	ENSG00003902	0
rna	ENSG00001665	0
rna	ENSG00003444	0
rna	ENSG00002157	0
rna	ENSG00003300	0
rna	ENSG00002068	0
rna	ENSG00002539	0
rna	ENSG00001486	0
rna	ENSG00001020	0
rna	ENSG00003762	0
rna	ENSG00000524	0
rna	ENSG00000295	0
rna	ENSG00002469	0
rna	ENSG00002506	0
rna	ENSG00003874	0
rna	ENSG00003800	0
rna	ENSG00000001	0
rna	ENSG00001494	0
rna	ENSG00003127	0
rna	ENSG00003881	0
rna	ENSG00001123	0
rna	ENSG00003537	0
rna	ENSG00001759	0
rna	ENSG00001321	0
rna	ENSG00002710	0
rna	ENSG00002617	0
rna	ENSG00000738	0
rna	ENSG00001567	0
rna	ENSG00000612	0
rna	ENSG00000756	0
rna	ENSG00003933	0
rna	ENSG00002796	0
rna	ENSG00003769	0
rna	ENSG00002987	0
rna	ENSG00002031	0
rna	ENSG00001861	0
rna	ENSG00003159	0
rna	ENSG00001025	0
rna	ENSG00003896	0
rna	ENSG00000102	0
rna	ENSG00003013	0
rna	ENSG00000198	0
rna	ENSG00000574	0
rna	ENSG00000031	0
rna	ENSG00000220	0
rna	ENSG00001676	0
rna	ENSG00000335	0
rna	ENSG00003895	0
rna	ENSG00000993	0
rna	ENSG00000910	0
rna	ENSG00001378	0
rna	ENSG00000177	0
rna	ENSG00002696	0
rna	ENSG00000521	0
rna	ENSG00001800	0
rna	ENSG00001620	0
rna	ENSG00002541	0
rna	ENSG00000669	0
rna	ENSG00003158	0
rna	ENSG00001876	0
rna	ENSG00002586	0
rna	ENSG00000878	0
rna	ENSG00003315	0
rna	ENSG00001416	0
rna	ENSG00003477	0
rna	ENSG00002454	0
rna	ENSG00002813	0
rna	ENSG00002112	0
rna	ENSG00003471	0
rna	ENSG00003559	0
rna	ENSG00001698	0
rna	ENSG00001013	0
rna	ENSG00000346	0
rna	ENSG00003053	0
rna	ENSG00000073	0
rna	ENSG00002415	0
rna	ENSG00002627	0
rna	ENSG00002226	0
rna	ENSG00001765	0
rna	ENSG00001929	0
rna	ENSG00001889	0
rna	ENSG00003840	0
rna	ENSG00003668	0
rna	ENSG00000370	0
rna	ENSG00001470	0
rna	ENSG00000322	0
rna	ENSG00000010	0
rna	ENSG00001195	0
rna	ENSG00002749	0
rna	ENSG00001210	0
rna	ENSG00003227	0
rna	ENSG00001130	0
rna	ENSG00002327	0
rna	ENSG00000395	0
rna	ENSG00003847	0
rna	ENSG00001736	0
rna	ENSG00000447	0
rna	ENSG00003532	0
rna	ENSG00001739	0
rna	ENSG00000391	0
rna	ENSG00003049	0
rna	ENSG00000070	0
rna	ENSG00003220	0
rna	ENSG00003533	0
rna	ENSG00001775	0
rna	ENSG00002631	0
rna	ENSG00001331	0
rna	ENSG00001528	0
rna	ENSG00001308	0
rna	ENSG00003118	0
rna	ENSG00002761	0
rna	ENSG00003816	0
rna	ENSG00002120	0
rna	ENSG00003667	0
rna	ENSG00000448	0
rna	ENSG00003656	0
rna	ENSG00000594	0
rna	ENSG00002993	0
rna	ENSG00002319	0
rna	ENSG00000556	0
rna	ENSG00000527	0
rna	ENSG00003555	0
rna	ENSG00002281	0
rna	ENSG00002006	0
rna	ENSG00003970	0
rna	ENSG00001580	0
rna	ENSG00003522	0
rna	ENSG00000987	0
rna	ENSG00003347	0
rna	ENSG00001188	0
rna	ENSG00000413	0
rna	ENSG00003483	0
rna	ENSG00000793	0
rna	ENSG00002951	0
rna	ENSG00000968	0
rna	ENSG00002933	0
rna	ENSG00002947	0
rna	ENSG00000973	0
rna	ENSG00002151	0
rna	ENSG00002670	0
rna	ENSG00001930	0
rna	ENSG00002889	0
rna	ENSG00000417	0
rna	ENSG00002143	0
rna	ENSG00002150	0
rna	ENSG00000721	0
rna	ENSG00000239	0
rna	ENSG00002456	0
rna	ENSG00002648	0
rna	ENSG00001917	0
rna	ENSG00002271	0
rna	ENSG00001997	0
rna	ENSG00003169	0
rna	ENSG00000839	0
rna	ENSG00001134	0
rna	ENSG00003526	0
rna	ENSG00002647	0
rna	ENSG00002901	0
rna	ENSG00000647	0
rna	ENSG00000186	0
rna	ENSG00000238	0
rna	ENSG00002470	0
rna	ENSG00001402	0
rna	ENSG00002649	0
rna	ENSG00001469	0
rna	ENSG00001535	0
rna	ENSG00001740	0
rna	ENSG00002163	0
rna	ENSG00001969	0
rna	ENSG00003161	0
rna	ENSG00000508	0
rna	ENSG00002753	0
rna	ENSG00000929	0
rna	ENSG00000766	0
rna	ENSG00001399	0
rna	ENSG00001874	0
rna	ENSG00003428	0
rna	ENSG00002916	0
rna	ENSG00000953	0
rna	ENSG00003078	0
rna	ENSG00001622	0
rna	ENSG00000959	0
rna	ENSG00000736	0
rna	ENSG00001065	0
rna	ENSG00002799	0
rna	ENSG00003839	0
rna	ENSG00000562	0
rna	ENSG00002899	0
rna	ENSG00002079	0
rna	ENSG00001221	0
rna	ENSG00003382	0
rna	ENSG00002160	0
rna	ENSG00002611	0
rna	ENSG00003268	0
rna	ENSG00002139	0
rna	ENSG00001817	0
rna	ENSG00001786	0
rna	ENSG00003580	0
rna	ENSG00003796	0
rna	ENSG00002810	0
rna	ENSG00001985	0
rna	ENSG00000423	0
rna	ENSG00000639	0
rna	ENSG00000550	0
rna	ENSG00001334	0
rna	ENSG00001036	0
rna	ENSG00001833	0
rna	ENSG00002681	0
rna	ENSG00000545	0
rna	ENSG00003782	0
rna	ENSG00000064	0
rna	ENSG00002115	0
rna	ENSG00001126	0
rna	ENSG00003669	0
rna	ENSG00003123	0
rna	ENSG00003980	0
rna	ENSG00003138	0
rna	ENSG00000095	0
rna	ENSG00003479	0
rna	ENSG00001404	0
rna	ENSG00002495	0
rna	ENSG00002342	0
rna	ENSG00003052	0
rna	ENSG00000199	0
rna	ENSG00000462	0
rna	ENSG00000151	0
rna	ENSG00003515	0
rna	ENSG00003703	0
rna	ENSG00003414	0
rna	ENSG00002826	0
rna	ENSG00001001	0
rna	ENSG00000109	0
rna	ENSG00001659	0
rna	ENSG00002605	0
rna	ENSG00001328	0
rna	ENSG00001848	0
rna	ENSG00003885	0
rna	ENSG00002348	0
rna	ENSG00003787	0
rna	ENSG00002513	0
rna	ENSG00001920	0
rna	ENSG00001847	0
rna	ENSG00002507	0
rna	ENSG00002307	0
rna	ENSG00002954	0
rna	ENSG00003728	0
rna	ENSG00002076	0
rna	ENSG00002318	0
rna	ENSG00000022	0
rna	ENSG00003730	0
rna	ENSG00001376	0
rna	ENSG00002952	0
rna	ENSG00001354	0
rna	ENSG00002578	0
rna	ENSG00003577	0
rna	ENSG00000228	0
rna	ENSG00002683	0
rna	ENSG00002492	0
rna	ENSG00001872	0
rna	ENSG00000851	0
rna	ENSG00002371	0
rna	ENSG00003482	0
rna	ENSG00001585	0
rna	ENSG00003029	0
rna	ENSG00000482	0
rna	ENSG00001753	0
rna	ENSG00003442	0
rna	ENSG00001724	0
rna	ENSG00001696	0
rna	ENSG00000994	0
rna	ENSG00003137	0
rna	ENSG00003026	0
rna	ENSG00002015	0
rna	ENSG00002132	0
rna	ENSG00003281	0
rna	ENSG00002508	0
rna	ENSG00001656	0
rna	ENSG00003492	0
rna	ENSG00002359	0
rna	ENSG00001587	0
rna	ENSG00002229	0
rna	ENSG00001147	0
rna	ENSG00000098	0
rna	ENSG00000359	0
rna	ENSG00002468	0
rna	ENSG00002803	0
rna	ENSG00001971	0
rna	ENSG00000015	0
rna	ENSG00001040	0
rna	ENSG00002379	0
rna	ENSG00000692	0
rna	ENSG00003218	0
rna	ENSG00000044	0
rna	ENSG00001868	0
rna	ENSG00003958	0
rna	ENSG00001519	0
rna	ENSG00003271	0
rna	ENSG00001177	0
rna	ENSG00000830	0
rna	ENSG00000382	0
rna	ENSG00003941	0
rna	ENSG00000179	0
rna	ENSG00003366	0
rna	ENSG00003570	0
rna	ENSG00002332	0
rna	ENSG00003871	0
rna	ENSG00003734	0
rna	ENSG00002491	0
rna	ENSG00003999	0
rna	ENSG00001716	0
rna	ENSG00003636	0
rna	ENSG00001261	0
rna	ENSG00002207	0
rna	ENSG00003998	0
rna	ENSG00002030	0
rna	ENSG00001963	0
rna	ENSG00001655	0
rna	ENSG00003602	0
rna	ENSG00003469	0
rna	ENSG00000156	0
rna	ENSG00000749	0
rna	ENSG00001453	0
rna	ENSG00000363	0
rna	ENSG00000955	0
rna	ENSG00000467	0
rna	ENSG00002473	0
rna	ENSG00001048	0
rna	ENSG00002053	0
rna	ENSG00001505	0
rna	ENSG00001309	0
rna	ENSG00003214	0
rna	ENSG00002759	0
rna	ENSG00003648	0
rna	ENSG00001094	0
rna	ENSG00002324	0
rna	ENSG00002755	0
rna	ENSG00002463	0
rna	ENSG00002066	0
rna	ENSG00000018	0
rna	ENSG00002029	0
rna	ENSG00000755	0
rna	ENSG00001047	0
rna	ENSG00002108	0
rna	ENSG00003563	0
rna	ENSG00002568	0
rna	ENSG00003134	0
rna	ENSG00003671	0
rna	ENSG00002243	0
rna	ENSG00002570	0
rna	ENSG00003672	0
rna	ENSG00000470	0
rna	ENSG00000282	0
rna	ENSG00003389	0
rna	ENSG00000072	0
rna	ENSG00000714	0
rna	ENSG00000438	0
rna	ENSG00003074	0
rna	ENSG00003994	0
rna	ENSG00000173	0
rna	ENSG00003184	0
rna	ENSG00002392	0
rna	ENSG00002093	0
rna	ENSG00003425	0
rna	ENSG00000334	0
rna	ENSG00002959	0
rna	ENSG00002486	0
rna	ENSG00001019	0
rna	ENSG00000071	0
rna	ENSG00000675	0
rna	ENSG00000218	0
rna	ENSG00002598	0
rna	ENSG00003000	0
rna	ENSG00003711	0
rna	ENSG00003244	0
rna	ENSG00002344	0
rna	ENSG00000061	0
rna	ENSG00000145	0
rna	ENSG00001880	0
rna	ENSG00000103	0
rna	ENSG00003388	0
rna	ENSG00002888	0
rna	ENSG00002823	0
rna	ENSG00002326	0
rna	ENSG00002002	0
rna	ENSG00003863	0
rna	ENSG00000757	0
rna	ENSG00003261	0
rna	ENSG00001120	0
rna	ENSG00002992	0
rna	ENSG00003430	0
rna	ENSG00002684	0
rna	ENSG00000362	0
rna	ENSG00002352	0
rna	ENSG00002623	0
rna	ENSG00002557	0
rna	ENSG00000938	0
rna	ENSG00001503	0
rna	ENSG00002038	0
rna	ENSG00001710	0
rna	ENSG00000767	0
rna	ENSG00003285	0
rna	ENSG00002303	0
rna	ENSG00001102	0
rna	ENSG00001575	0
rna	ENSG00001247	0
rna	ENSG00001779	0
rna	ENSG00001957	0
rna	ENSG00003079	0
rna	ENSG00002538	0
rna	ENSG00002300	0
rna	ENSG00003363	0
rna	ENSG00001337	0
rna	ENSG00002407	0
rna	ENSG00000146	0
rna	ENSG00000682	0
rna	ENSG00002960	0
rna	ENSG00000297	0
rna	ENSG00001332	0
rna	ENSG00000865	0
rna	ENSG00002592	0
rna	ENSG00002768	0
rna	ENSG00000124	0
rna	ENSG00003478	0
rna	ENSG00000961	0
rna	ENSG00001914	0
rna	ENSG00000237	0
rna	ENSG00000397	0
rna	ENSG00003109	0
rna	ENSG00001039	0
rna	ENSG00003911	0
rna	ENSG00001298	0
rna	ENSG00002984	0
rna	ENSG00003761	0
rna	ENSG00000760	0
rna	ENSG00003827	0
rna	ENSG00001508	0
rna	ENSG00004000	0
rna	ENSG00003714	0
rna	ENSG00000249	0
rna	ENSG00002021	0
rna	ENSG00000798	0
rna	ENSG00002780	0
rna	ENSG00000503	0
rna	ENSG00001457	0
rna	ENSG00000304	0
rna	ENSG00002369	0
rna	ENSG00000941	0
rna	ENSG00003392	0
rna	ENSG00001099	0
rna	ENSG00000275	0
rna	ENSG00001060	0
rna	ENSG00000269	0
rna	ENSG00001184	0
rna	ENSG00002094	0
rna	ENSG00000411	0
rna	ENSG00002236	0
rna	ENSG00001522	0
rna	ENSG00002106	0
rna	ENSG00001445	0
rna	ENSG00002516	0
rna	ENSG00003043	0
rna	ENSG00001850	0
rna	ENSG00000499	0
rna	ENSG00002502	0
rna	ENSG00003012	0
rna	ENSG00003195	0
rna	ENSG00001070	0
rna	ENSG00001654	0
rna	ENSG00001375	0
rna	ENSG00002764	0
rna	ENSG00003128	0
rna	ENSG00001169	0
rna	ENSG00001183	0
rna	ENSG00003601	0
rna	ENSG00001256	0
rna	ENSG00002361	0
rna	ENSG00003655	0
rna	ENSG00003257	0
rna	ENSG00001482	0
rna	ENSG00000121	0
rna	ENSG00003495	0
rna	ENSG00000077	0
rna	ENSG00002609	0
rna	ENSG00001413	0
rna	ENSG00003203	0
rna	ENSG00000027	0
rna	ENSG00000303	0
rna	ENSG00000932	0
rna	ENSG00003767	0
rna	ENSG00003710	0
rna	ENSG00000601	0
rna	ENSG00000163	0
rna	ENSG00003396	0
rna	ENSG00001087	0
rna	ENSG00001266	0
rna	ENSG00001881	0
rna	ENSG00001607	0
rna	ENSG00003110	0
rna	ENSG00002707	0
rna	ENSG00002477	0
rna	ENSG00001965	0
rna	ENSG00001544	0
rna	ENSG00001813	0
rna	ENSG00000152	0
rna	ENSG00000958	0
rna	ENSG00003031	0
rna	ENSG00003119	0
rna	ENSG00001709	0
rna	ENSG00002024	0
rna	ENSG00000452	0
rna	ENSG00001664	0
rna	ENSG00000226	0
rna	ENSG00003607	0
rna	ENSG00000500	0
rna	ENSG00001694	0
rna	ENSG00001226	0
rna	ENSG00002792	0
rna	ENSG00002622	0
rna	ENSG00001215	0
rna	ENSG00001109	0
rna	ENSG00002423	0
rna	ENSG00002849	0
rna	ENSG00000991	0
rna	ENSG00002745	0
rna	ENSG00003848	0
rna	ENSG00003676	0
rna	ENSG00002016	0
rna	ENSG00002725	0
rna	ENSG00001483	0
rna	ENSG00003804	0
rna	ENSG00001359	0
rna	ENSG00000905	0
rna	ENSG00003552	0
rna	ENSG00000418	0
rna	ENSG00001155	0
rna	ENSG00001255	0
rna	ENSG00002315	0
rna	ENSG00003642	0
rna	ENSG00002818	0
rna	ENSG00000723	0
rna	ENSG00002449	0
rna	ENSG00001946	0
rna	ENSG00001514	0
rna	ENSG00002533	0
rna	ENSG00001022	0
rna	ENSG00000259	0
rna	ENSG00002346	0
rna	ENSG00002265	0
rna	ENSG00003681	0
rna	ENSG00000841	0
rna	ENSG00003541	0
rna	ENSG00003489	0
rna	ENSG00001992	0
rna	ENSG00002317	0
rna	ENSG00002800	0
rna	ENSG00001573	0
rna	ENSG00003263	0
rna	ENSG00001118	0
rna	ENSG00003151	0
rna	ENSG00002758	0
rna	ENSG00003550	0
rna	ENSG00002197	0
rna	ENSG00001940	0
rna	ENSG00000023	0
rna	ENSG00002238	0
rna	ENSG00003032	0
rna	ENSG00002875	0
rna	ENSG00003470	0
rna	ENSG00002426	0
rna	ENSG00000761	0
rna	ENSG00003065	0
rna	ENSG00003448	0
rna	ENSG00000615	0
rna	ENSG00003864	0
rna	ENSG00000916	0
rna	ENSG00001658	0
rna	ENSG00000279	0
rna	ENSG00001621	0
rna	ENSG00002923	0
rna	ENSG00003808	0
rna	ENSG00002259	0
rna	ENSG00003625	0
rna	ENSG00001566	0
rna	ENSG00002976	0
rna	ENSG00000317	0
rna	ENSG00003059	0
rna	ENSG00001219	0
rna	ENSG00000069	0
rna	ENSG00001220	0
rna	ENSG00003273	0
rna	ENSG00002249	0
rna	ENSG00001090	0
rna	ENSG00002325	0
rna	ENSG00000871	0
rna	ENSG00000244	0
rna	ENSG00001618	0
rna	ENSG00000100	0
rna	ENSG00002715	0
rna	ENSG00002770	0
rna	ENSG00001941	0
rna	ENSG00000631	0
rna	ENSG00001714	0
rna	ENSG00001691	0
rna	ENSG00000084	0
rna	ENSG00000371	0
rna	ENSG00003162	0
rna	ENSG00003204	0
rna	ENSG00001925	0
