"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesNOR1A03G00003900",-6.67515564710943,FALSE,FALSE,0.191873268619907,0.0712421742218048,"protein_only",12,FALSE
"TraesNOR1A03G00005050",2.53904524791961,FALSE,TRUE,0.13811678504294,0.0466368365080057,"concordant",23.6963644609556,TRUE
"TraesNOR1A03G00009760",-1.06834101150144,FALSE,TRUE,0.264422045470602,0.107378209974978,"kinetics_limited",101.177218024281,FALSE
"TraesNOR1A03G00010740",2.30429955387538,FALSE,TRUE,0.963316139618565,0.898895889925135,"kinetics_limited",432,FALSE
"TraesNOR1A03G00010780",1.96999478795781,FALSE,TRUE,0.98491158337347,0.964497345512929,"kinetics_limited",432,FALSE
"TraesNOR1A03G00011550",2.16599265188046,FALSE,TRUE,0.874036389512629,0.704551320663393,"kinetics_limited",432,FALSE
"TraesNOR1A03G00011890",77.9224174174177,FALSE,FALSE,0.488282515676653,0.249015564788772,"protein_only",432,TRUE
"TraesNOR1A03G00013400",-14.5491392744369,FALSE,FALSE,0.0486184188540425,0.0126752807440758,"unchanged",432,FALSE
"TraesNOR1A03G00015580",-10.8315097200212,FALSE,FALSE,0.000642764871647412,8.27284114700293e-05,"protein_only",20.6814805507265,FALSE
"TraesNOR1A03G00015590",-69.2303748039516,FALSE,FALSE,0.414445428633305,0.19448970395837,"protein_only",432,FALSE
"TraesNOR1A03G00018120",6.21793272346019,TRUE,TRUE,5.21990613357446e-22,1.04215997627092e-23,"amplified",24.7960071284479,TRUE
"TraesNOR1A03G00019190",2.12765592788704,FALSE,TRUE,0.99333517520892,0.991662890414358,"kinetics_limited",432,FALSE
"TraesNOR1A03G00021290",4.50248517832272,FALSE,TRUE,0.22176676034509,0.0857578381253063,"concordant",24.7960071284479,TRUE
"TraesNOR1A03G00023360",0.220172466355586,FALSE,TRUE,0.607103790206354,0.34173859406072,"kinetics_limited",12,FALSE
"TraesNOR1A03G00023440",2.11680682962018,FALSE,TRUE,0.917731037086836,0.803706730136291,"kinetics_limited",432,FALSE
"TraesNOR1A03G00023510",1.33848293074878,FALSE,TRUE,0.595626233648041,0.332794072174722,"concordant",12,TRUE
"TraesNOR1A03G00023610",0.822238533446042,FALSE,TRUE,0.94976990431019,0.868213775678786,"concordant",12,TRUE
"TraesNOR1A03G00023780",0.0415586946654327,FALSE,TRUE,0.930426575211324,0.83354946810131,"kinetics_limited",16.4847159298127,FALSE
"TraesNOR1A03G00025530",1.65355601054906,FALSE,TRUE,0.497937677942882,0.255869894209455,"concordant",51.2368307928365,TRUE
"TraesNOR1A03G00026570",-5.22679941002519,FALSE,FALSE,0.000338442850797553,4.04766890758074e-05,"protein_only",20.6814805507265,FALSE
"TraesNOR1A03G00027820",-5.79557534558007,FALSE,FALSE,0.604338718863089,0.339713565555914,"unchanged",24.7960071284479,FALSE
"TraesNOR1A03G00028650",36.1015484468231,TRUE,TRUE,0.0236327820171922,0.00525885515714997,"amplified",432,TRUE
"TraesNOR1A03G00029570",18.200809016594,FALSE,TRUE,0.667161636295937,0.398656038789932,"concordant",394.533316740934,TRUE
"TraesNOR1A03G00033230",11.4721307318286,FALSE,TRUE,0.687152855741451,0.421428888460157,"concordant",250.659037068693,TRUE
"TraesNOR1A03G00034440",5.60863493502479,FALSE,TRUE,0.836004333627993,0.636246980773092,"kinetic_lag",432,TRUE
"TraesNOR1A03G00034990",-14.0579464721896,FALSE,FALSE,0.787167989114774,0.558753474731208,"unchanged",432,FALSE
"TraesNOR1A03G00035000",0.620220059785711,FALSE,FALSE,0.907562060560122,0.769466263401817,"unchanged",13.1395747330612,TRUE
"TraesNOR1A03G00036300",0.249503353171478,FALSE,TRUE,0.749268880631341,0.503240292961348,"kinetics_limited",12,FALSE
"TraesNOR1A03G00037320",0.923512415248965,FALSE,FALSE,0.957728451875036,0.887370032944887,"unchanged",12,TRUE
"TraesNOR1A03G00037620",0.675724638528929,FALSE,TRUE,0.627919517689201,0.358811152965258,"concordant",12,TRUE
"TraesNOR1A03G00038460",2.77977956371388,FALSE,FALSE,0.0078444165093897,0.00142625754716176,"protein_only",29.7291080300555,TRUE
"TraesNOR1A03G00038470",0.306461440863199,FALSE,TRUE,0.423919970029066,0.201483187926201,"kinetics_limited",12,FALSE
"TraesNOR1A03G00040500",17.2215094305031,FALSE,FALSE,4.29896821368298e-12,1.84158165385528e-13,"protein_only",12,TRUE
