comp	n_gene	n_group	type
1	1	1	simple
2	1	1	simple
3	1	1	simple
4	1	1	simple
5	1	1	simple
6	1	1	simple
7	1	1	simple
8	1	1	simple
9	1	1	simple
10	1	1	simple
11	1	1	simple
12	1	1	simple
13	1	1	simple
14	1	1	simple
15	1	1	simple
16	1	1	simple
17	1	1	simple
18	1	1	simple
19	1	1	simple
20	1	1	simple
21	1	1	simple
22	1	1	simple
23	1	1	simple
24	1	1	simple
25	1	1	simple
26	1	2	split
27	1	1	simple
28	1	1	simple
29	1	1	simple
30	1	1	simple
31	1	1	simple
32	1	1	simple
33	1	1	simple
34	1	1	simple
35	1	1	simple
36	1	1	simple
37	1	1	simple
38	1	1	simple
39	1	1	simple
40	1	1	simple
41	1	1	simple
42	1	1	simple
43	1	1	simple
44	1	1	simple
45	1	1	simple
46	1	1	simple
47	1	1	simple
48	1	1	simple
49	1	2	split
50	1	1	simple
51	1	1	simple
52	1	1	simple
53	1	1	simple
54	1	1	simple
55	1	1	simple
56	1	1	simple
57	1	1	simple
58	1	1	simple
59	1	1	simple
60	1	1	simple
61	1	1	simple
62	1	1	simple
63	1	1	simple
64	1	1	simple
65	1	1	simple
66	1	1	simple
67	1	1	simple
68	1	1	simple
69	1	1	simple
70	1	1	simple
71	1	1	simple
72	1	1	simple
73	1	1	simple
74	1	1	simple
75	1	1	simple
76	1	1	simple
77	1	1	simple
78	1	1	simple
79	1	1	simple
80	1	1	simple
81	1	1	simple
82	1	1	simple
83	1	1	simple
84	1	1	simple
85	1	1	simple
86	1	1	simple
87	1	1	simple
88	1	1	simple
89	1	1	simple
90	1	1	simple
91	1	1	simple
92	1	1	simple
93	1	1	simple
94	1	1	simple
95	1	1	simple
96	1	1	simple
97	1	1	simple
98	1	1	simple
99	1	1	simple
100	1	1	simple
101	1	2	split
102	1	1	simple
103	1	1	simple
104	1	1	simple
105	1	1	simple
106	1	1	simple
107	1	1	simple
108	1	1	simple
109	1	1	simple
110	1	2	split
111	1	1	simple
112	1	1	simple
113	1	1	simple
114	1	1	simple
115	1	1	simple
116	1	1	simple
117	1	2	split
118	1	1	simple
119	1	1	simple
120	1	1	simple
121	1	1	simple
122	1	1	simple
123	1	1	simple
124	1	1	simple
125	1	1	simple
126	1	2	split
127	1	1	simple
128	1	1	simple
129	1	1	simple
130	1	1	simple
131	1	1	simple
132	1	1	simple
133	1	1	simple
134	1	1	simple
135	1	1	simple
136	1	2	split
137	1	1	simple
138	1	1	simple
139	1	1	simple
140	1	1	simple
141	1	1	simple
142	1	1	simple
143	1	1	simple
144	1	1	simple
145	1	1	simple
146	1	1	simple
147	1	1	simple
148	1	1	simple
149	1	1	simple
150	1	1	simple
151	1	1	simple
152	1	1	simple
153	1	1	simple
154	1	1	simple
155	1	1	simple
156	1	1	simple
157	1	1	simple
158	1	1	simple
159	1	1	simple
160	1	1	simple
161	1	2	split
162	1	1	simple
163	1	2	split
164	1	1	simple
165	1	1	simple
166	1	1	simple
167	1	1	simple
168	1	1	simple
169	1	1	simple
170	1	1	simple
171	1	1	simple
172	1	1	simple
173	1	1	simple
174	1	1	simple
175	1	1	simple
176	1	1	simple
177	1	1	simple
178	1	1	simple
179	1	1	simple
180	1	1	simple
181	1	1	simple
182	1	1	simple
183	1	1	simple
184	1	1	simple
185	1	1	simple
186	1	1	simple
187	1	1	simple
188	1	1	simple
189	1	1	simple
190	1	1	simple
191	1	1	simple
192	1	1	simple
193	1	1	simple
194	1	2	split
195	1	1	simple
196	1	1	simple
197	1	1	simple
198	1	1	simple
199	1	1	simple
200	1	1	simple
201	1	1	simple
202	1	1	simple
203	1	1	simple
204	1	1	simple
205	1	1	simple
206	1	1	simple
207	1	1	simple
208	1	1	simple
209	1	1	simple
210	1	1	simple
211	1	1	simple
212	1	1	simple
213	1	1	simple
214	1	1	simple
215	1	1	simple
216	1	1	simple
217	1	1	simple
218	1	1	simple
219	1	1	simple
220	1	1	simple
221	1	2	split
222	1	1	simple
223	1	1	simple
224	1	1	simple
225	1	1	simple
226	1	1	simple
227	1	1	simple
228	1	1	simple
229	1	1	simple
230	1	1	simple
231	1	1	simple
232	1	1	simple
233	1	1	simple
234	1	1	simple
235	1	1	simple
236	1	1	simple
237	1	1	simple
238	1	1	simple
239	1	1	simple
240	1	1	simple
241	1	1	simple
242	1	1	simple
243	1	1	simple
244	1	1	simple
245	1	1	simple
246	1	1	simple
247	1	1	simple
248	1	1	simple
249	1	1	simple
250	1	1	simple
251	1	1	simple
252	1	1	simple
253	1	1	simple
254	1	1	simple
255	1	1	simple
256	1	1	simple
257	1	1	simple
258	1	1	simple
259	1	1	simple
260	1	1	simple
261	1	1	simple
262	1	1	simple
263	1	1	simple
264	1	1	simple
265	1	1	simple
266	1	1	simple
267	1	1	simple
268	1	1	simple
269	1	1	simple
270	1	1	simple
271	1	1	simple
272	1	1	simple
273	1	1	simple
274	1	1	simple
275	1	1	simple
276	1	1	simple
277	1	1	simple
278	1	1	simple
279	1	1	simple
280	1	2	split
281	1	1	simple
282	1	1	simple
283	1	1	simple
284	1	1	simple
285	1	1	simple
286	1	1	simple
287	1	1	simple
288	1	1	simple
289	1	1	simple
290	1	1	simple
291	1	1	simple
292	1	1	simple
293	1	1	simple
294	1	1	simple
295	1	1	simple
296	1	2	split
297	1	1	simple
298	1	1	simple
299	1	1	simple
300	1	1	simple
301	1	1	simple
302	1	1	simple
303	1	1	simple
304	1	1	simple
305	1	1	simple
306	1	1	simple
307	1	1	simple
308	1	1	simple
309	1	1	simple
310	1	1	simple
311	1	1	simple
312	1	1	simple
313	1	1	simple
314	1	1	simple
315	1	2	split
316	1	1	simple
317	1	1	simple
318	1	1	simple
319	1	1	simple
320	1	1	simple
321	1	1	simple
322	1	1	simple
323	1	1	simple
324	1	1	simple
325	1	1	simple
326	1	1	simple
327	1	1	simple
328	1	2	split
329	1	1	simple
330	1	2	split
331	1	1	simple
332	1	1	simple
333	1	1	simple
334	1	1	simple
335	1	1	simple
336	1	1	simple
337	1	1	simple
338	1	1	simple
339	1	1	simple
340	1	1	simple
341	1	1	simple
342	1	1	simple
343	1	1	simple
344	1	2	split
345	1	1	simple
346	1	1	simple
347	1	1	simple
348	1	1	simple
349	1	1	simple
350	1	1	simple
351	1	1	simple
352	1	1	simple
353	1	1	simple
354	1	1	simple
355	1	2	split
356	1	1	simple
357	1	1	simple
358	1	1	simple
359	1	1	simple
360	1	1	simple
361	1	1	simple
362	1	1	simple
363	1	1	simple
364	1	1	simple
365	1	1	simple
366	1	1	simple
367	1	1	simple
368	1	1	simple
369	1	1	simple
370	1	1	simple
371	1	1	simple
372	1	1	simple
373	1	1	simple
374	1	1	simple
375	1	1	simple
376	1	1	simple
377	1	1	simple
378	1	1	simple
379	1	1	simple
380	1	1	simple
381	1	1	simple
382	1	1	simple
383	1	1	simple
384	1	1	simple
385	1	1	simple
386	1	1	simple
387	1	1	simple
388	1	1	simple
389	1	1	simple
390	1	2	split
391	1	1	simple
392	1	1	simple
393	1	1	simple
394	1	1	simple
395	1	1	simple
396	1	1	simple
397	1	1	simple
398	1	1	simple
399	1	1	simple
400	1	1	simple
401	1	1	simple
402	1	1	simple
403	1	1	simple
404	1	1	simple
405	1	1	simple
406	1	1	simple
407	1	1	simple
408	1	1	simple
409	1	1	simple
410	1	1	simple
411	1	1	simple
412	1	1	simple
413	1	1	simple
414	1	1	simple
415	1	1	simple
416	1	1	simple
417	1	1	simple
418	1	1	simple
419	1	1	simple
420	1	1	simple
421	1	1	simple
422	1	1	simple
423	1	1	simple
424	1	1	simple
425	1	2	split
426	1	1	simple
427	1	1	simple
428	1	1	simple
429	1	1	simple
430	1	1	simple
431	1	1	simple
432	1	1	simple
433	1	1	simple
434	1	1	simple
435	1	1	simple
436	1	1	simple
437	1	1	simple
438	1	1	simple
439	1	1	simple
440	1	1	simple
441	1	1	simple
442	1	1	simple
443	1	1	simple
444	1	1	simple
445	1	1	simple
446	1	1	simple
447	1	2	split
448	1	1	simple
449	1	1	simple
450	1	1	simple
451	1	1	simple
452	1	1	simple
453	1	1	simple
454	1	1	simple
455	1	2	split
456	1	1	simple
457	1	1	simple
458	1	1	simple
459	1	1	simple
460	1	1	simple
461	1	1	simple
462	1	1	simple
463	1	1	simple
464	1	1	simple
465	1	1	simple
466	1	1	simple
467	1	1	simple
468	1	1	simple
469	1	1	simple
470	1	1	simple
471	1	1	simple
472	1	1	simple
473	1	1	simple
474	1	1	simple
475	1	1	simple
476	1	1	simple
477	1	1	simple
478	1	1	simple
479	1	1	simple
480	1	1	simple
481	1	1	simple
482	1	1	simple
483	1	1	simple
484	1	1	simple
485	1	2	split
486	1	1	simple
487	1	1	simple
488	1	1	simple
489	1	1	simple
490	1	1	simple
491	1	1	simple
492	1	1	simple
493	1	1	simple
494	1	1	simple
495	1	1	simple
496	1	1	simple
497	1	1	simple
498	1	1	simple
499	1	1	simple
