cluster_id	type	genes	groups
FC1508	shared	ENSG00001324;ENSG00001950	PGSHARED0001
FC1509	shared	ENSG00003414;ENSG00003876	PGSHARED0002
FC1510	shared	ENSG00000530;ENSG00001707	PGSHARED0004
FC1511	shared	ENSG00000442;ENSG00002396	PGSHARED0005
FC1512	shared	ENSG00000063;ENSG00003724	PGSHARED0006
FC1513	shared	ENSG00001468;ENSG00003260	PGSHARED0007
FC1514	shared	ENSG00001302;ENSG00002718	PGSHARED0008
FC1515	shared	ENSG00000482;ENSG00003799	PGSHARED0009
FC1516	shared	ENSG00001764;ENSG00002972	PGSHARED0010
FC1517	shared	ENSG00000858;ENSG00003523	PGSHARED0011
FC1518	shared	ENSG00002813;ENSG00003396	PGSHARED0012
FC1519	shared	ENSG00000936;ENSG00001896	PGSHARED0013
FC1520	shared	ENSG00001215;ENSG00001843	PGSHARED0014
FC1521	shared	ENSG00002492;ENSG00002545	PGSHARED0015
FC1522	shared	ENSG00001738;ENSG00001903	PGSHARED0016
FC1523	shared	ENSG00003325;ENSG00003866	PGSHARED0017
FC1524	shared	ENSG00001451;ENSG00002686	PGSHARED0018
FC1525	shared	ENSG00000387;ENSG00003345	PGSHARED0019
FC1526	shared	ENSG00002638;ENSG00003323	PGSHARED0020
FC1527	shared	ENSG00000724;ENSG00001391	PGSHARED0021
FC1528	shared	ENSG00000882;ENSG00001607	PGSHARED0022
FC1529	shared	ENSG00000108;ENSG00000321	PGSHARED0023
FC1530	shared	ENSG00000409;ENSG00001559	PGSHARED0024
FC1531	shared	ENSG00000526;ENSG00002208	PGSHARED0025
FC1532	shared	ENSG00001726;ENSG00002139	PGSHARED0026
FC1533	shared	ENSG00000565;ENSG00003152	PGSHARED0029
FC1534	shared	ENSG00000747;ENSG00002544	PGSHARED0030
FC1535	shared	ENSG00000993;ENSG00002672	PGSHARED0031
FC1536	shared	ENSG00000038;ENSG00002662	PGSHARED0032
FC1537	shared	ENSG00000885;ENSG00002562	PGSHARED0033
FC1538	shared	ENSG00001016;ENSG00003370	PGSHARED0034
FC1539	shared	ENSG00000576;ENSG00000818	PGSHARED0036
FC1540	shared	ENSG00000394;ENSG00003723	PGSHARED0037
FC1541	shared	ENSG00001915;ENSG00003064	PGSHARED0038
FC1542	shared	ENSG00000821;ENSG00001525	PGSHARED0039
FC1543	shared	ENSG00001084;ENSG00001438	PGSHARED0040
FC1544	shared	ENSG00001064;ENSG00001705	PGSHARED0041
FC1545	shared	ENSG00001647;ENSG00003162	PGSHARED0042
FC1546	shared	ENSG00001295;ENSG00002602	PGSHARED0043
FC1547	shared	ENSG00003478;ENSG00003498	PGSHARED0044
FC1548	shared	ENSG00002310;ENSG00003452	PGSHARED0045
FC1549	shared	ENSG00001663;ENSG00003530	PGSHARED0046
FC1550	shared	ENSG00001750;ENSG00002445	PGSHARED0047
FC1551	shared	ENSG00002687;ENSG00003705	PGSHARED0048
FC1552	shared	ENSG00000231;ENSG00002773	PGSHARED0049
FC1553	shared	ENSG00001297;ENSG00003714	PGSHARED0050
FC1554	shared	ENSG00001157;ENSG00003917	PGSHARED0051
FC1555	shared	ENSG00001693;ENSG00003247	PGSHARED0052
FC1556	shared	ENSG00001560;ENSG00003595	PGSHARED0053
FC1557	shared	ENSG00001459;ENSG00002654	PGSHARED0054
FC1558	shared	ENSG00000785;ENSG00001495	PGSHARED0055
FC1559	shared	ENSG00001489;ENSG00003012	PGSHARED0056
FC1560	shared	ENSG00000075;ENSG00002768	PGSHARED0058
FC1561	shared	ENSG00000412;ENSG00001291	PGSHARED0059
FC1562	shared	ENSG00000807;ENSG00002249	PGSHARED0060
FC1563	shared	ENSG00003625;ENSG00003675	PGSHARED0061
FC1564	shared	ENSG00000735;ENSG00001117	PGSHARED0062
FC1565	shared	ENSG00002167;ENSG00003026	PGSHARED0063
FC1566	shared	ENSG00002267;ENSG00002339	PGSHARED0064
FC1567	shared	ENSG00001313;ENSG00001876	PGSHARED0065
FC1568	shared	ENSG00002881;ENSG00003024	PGSHARED0066
FC1569	shared	ENSG00003465;ENSG00003988	PGSHARED0067
FC1570	shared	ENSG00002888;ENSG00003571	PGSHARED0068
FC1571	shared	ENSG00000529;ENSG00000541	PGSHARED0069
FC1572	shared	ENSG00001510;ENSG00002762	PGSHARED0070
FC1573	shared	ENSG00000636;ENSG00001668	PGSHARED0071
FC1574	shared	ENSG00001636;ENSG00002572	PGSHARED0072
FC1575	shared	ENSG00001469;ENSG00002746	PGSHARED0073
