gene_id	groups	n_groups
ENSG00000003	PG00002	1
ENSG00000012	PG00004	1
ENSG00000015	PG00005	1
ENSG00000018	PG00006	1
ENSG00000019	PG00007	1
ENSG00000020	PG00008	1
ENSG00000024	PG00009	1
ENSG00000025	PG00010	1
ENSG00000029	PG00012	1
ENSG00000031	PG00013	1
ENSG00000034	PG00014	1
ENSG00000035	PG00015	1
ENSG00000036	PG00016	1
ENSG00000037	PG00017	1
ENSG00000041	PG00019	1
ENSG00000042	PG00020	1
ENSG00000043	PG00021	1
ENSG00000044	PG00022	1
ENSG00000047	PG00023	1
ENSG00000048	PG00024	1
ENSG00000050	PG00025	1
ENSG00000051	PG00026	1
ENSG00000058	PG00027	1
ENSG00000060	PG00028	1
ENSG00000067	PG00030	1
ENSG00000068	PG00031;PG00031b	2
ENSG00000077	PG00033	1
ENSG00000078	PG00034	1
ENSG00000082	PG00035	1
ENSG00000085	PG00036	1
ENSG00000088	PG00037	1
ENSG00000089	PG00038	1
ENSG00000093	PG00040	1
ENSG00000094	PG00041	1
ENSG00000095	PG00042	1
ENSG00000096	PG00043	1
ENSG00000100	PG00044	1
ENSG00000101	PG00045	1
ENSG00000102	PG00046	1
ENSG00000109	PG00048	1
ENSG00000111	PG00049	1
ENSG00000112	PG00050b	1
ENSG00000114	PG00051	1
ENSG00000116	PG00052	1
ENSG00000119	PG00054	1
ENSG00000120	PG00055	1
ENSG00000122	PG00056	1
ENSG00000123	PG00057	1
ENSG00000125	PG00058;PG00058b	2
ENSG00000126	PG00059	1
ENSG00000129	PG00060	1
ENSG00000134	PG00061	1
ENSG00000136	PG00062	1
ENSG00000138	PG00063	1
ENSG00000141	PG00065	1
ENSG00000145	PG00066	1
ENSG00000149	PG00067	1
ENSG00000155	PG00069	1
ENSG00000156	PG00070	1
ENSG00000157	PG00071	1
ENSG00000160	PG00072	1
ENSG00000162	PG00073	1
ENSG00000163	PG00074	1
ENSG00000164	PG00075	1
ENSG00000166	PG00076	1
ENSG00000168	PG00077	1
ENSG00000177	PG00078	1
ENSG00000178	PG00079	1
ENSG00000180	PG00080	1
ENSG00000186	PG00081	1
ENSG00000188	PG00082	1
ENSG00000190	PG00083	1
ENSG00000192	PG00084	1
ENSG00000194	PG00085	1
ENSG00000196	PG00086	1
ENSG00000197	PG00087	1
ENSG00000198	PG00088	1
ENSG00000199	PG00089	1
ENSG00000203	PG00090	1
ENSG00000206	PG00091	1
ENSG00000207	PG00092	1
ENSG00000209	PG00093	1
ENSG00000210	PG00094	1
ENSG00000211	PG00095	1
ENSG00000213	PG00096	1
ENSG00000214	PG00097	1
ENSG00000215	PG00098	1
ENSG00000219	PG00099	1
ENSG00000220	PG00100	1
ENSG00000221	PG00101	1
ENSG00000222	PG00102	1
ENSG00000223	PG00103	1
ENSG00000225	PG00104	1
ENSG00000227	PG00105	1
ENSG00000228	PG00106	1
ENSG00000232	PG00108	1
ENSG00000233	PG00109	1
ENSG00000235	PG00110	1
ENSG00000240	PG00111	1
ENSG00000242	PG00112	1
ENSG00000246	PG00113;PG00113b	2
ENSG00000247	PG00114	1
ENSG00000248	PG00115	1
ENSG00000251	PG00116	1
ENSG00000254	PG00117	1
ENSG00000256	PG00119	1
ENSG00000257	PG00120	1
ENSG00000259	PG00121	1
ENSG00000261	PG00122	1
ENSG00000262	PG00123;PG00123b	2
ENSG00000268	PG00124	1
ENSG00000270	PG00125	1
ENSG00000283	PG00126	1
ENSG00000284	PG00127	1
ENSG00000286	PG00128	1
ENSG00000288	PG00129	1
ENSG00000290	PG00130;PG00130b	2
ENSG00000291	PG00131	1
ENSG00000292	PG00132	1
ENSG00000299	PG00134	1
ENSG00000302	PG00136	1
ENSG00000303	PG00137	1
ENSG00000306	PG00139	1
ENSG00000308	PG00140	1
ENSG00000314	PG00143	1
ENSG00000318	PG00144;PG00144b	2
ENSG00000320	PG00146	1
ENSG00000322	PG00148	1
ENSG00000323	PG00149	1
ENSG00000326	PG00150	1
ENSG00000330	PG00151	1
ENSG00000332	PG00152	1
ENSG00000333	PG00153	1
ENSG00000337	PG00154	1
ENSG00000338	PG00155	1
