group_id	majority_protein_ids	unique_peptides	reverse	potential_contaminant	only_identified_by_site
PG00002	P00003	6			
PG00004	P00012	4			
PG00005	P00015	3			
PG00006	P00018	7			
PG00007	P00019	7			
PG00008	P00020	4			
PG00009	P00024	3			
PG00010	P00025	3			
PG00012	P00029	5			
PG00013	P00031	4			
PG00014	P00034	6			
PG00015	P00035	6			
PG00016	P00036	2			
PG00017	P00037	5			
PG00019	P00041	2			
PG00020	P00042	4			
PG00021	P00043	5			
PG00022	P00044	3			
PG00023	P00047	4			
PG00024	P00048	8			
PG00025	P00050	5			
PG00026	P00051	6			
PG00027	P00058	3			
PG00028	P00060	7			
PG00030	P00067	5			
PG00031	P00068	3			
PG00031b	P00068	4			
PG00033	P00077	4			
PG00034	P00078	3			
PG00035	P00082	5			
PG00036	P00085	7			
PG00037	P00088	8			
PG00038	P00089	4			
PG00040	P00093	3			
PG00041	P00094	2			
PG00042	P00095	11			
PG00043	P00096	4			
PG00044	P00100	4			
PG00045	P00101	5			
PG00046	P00102	4			
PG00048	P00109	8			
PG00049	P00111	2			
PG00050b	P00112	3			
PG00051	P00114	4			
PG00052	P00116	3			
PG00054	P00119	3			
PG00055	P00120	7			
PG00056	P00122	8			
PG00057	P00123	12			
PG00058	P00125	5			
PG00058b	P00125	5			
PG00059	P00126	4			
PG00060	P00129	4			
PG00061	P00134	7			
PG00062	P00136	3			
PG00063	P00138	7			
PG00065	P00141	8			
PG00066	P00145	8			
PG00067	P00149	4			
PG00069	P00155	5			
PG00070	P00156	7			
PG00071	P00157	6			
PG00072	P00160	8			
PG00073	P00162	6			
PG00074	P00163	4			
PG00075	P00164	2			
PG00076	P00166	7			
PG00077	P00168	5			
PG00078	P00177	9			
PG00079	P00178	8			
PG00080	P00180	2			
PG00081	P00186	4			
PG00082	P00188	5			
PG00083	P00190	3			
PG00084	P00192	3			
PG00085	P00194	4			
PG00086	P00196	4			
PG00087	P00197	7			
PG00088	P00198	8			
PG00089	P00199	5			
PG00090	P00203	5			
PG00091	P00206	6			
PG00092	P00207	7			
PG00093	P00209	3			
PG00094	P00210	5			
PG00095	P00211	5			
PG00096	P00213	5			
PG00097	P00214	4			
PG00098	P00215	5			
PG00099	P00219	5			
PG00100	P00220	9			
PG00101	P00221	3			
PG00102	P00222	8			
PG00103	P00223	5			
PG00104	P00225	5			
PG00105	P00227	6			
PG00106	P00228	11			
PG00108	P00232	8			
PG00109	P00233	4			
PG00110	P00235;Q9ORPH8	8			
PG00111	P00240	5			
PG00112	P00242	2			
PG00113	P00246	6			
PG00113b	P00246	4			
PG00114	P00247	4			
PG00115	P00248	5			
PG00116	P00251	5			
PG00117	P00254	6			
PG00119	P00256	6			
PG00120	P00257	6			
PG00121	P00259	2			
PG00122	P00261	3			
PG00123	P00262	5			
PG00123b	P00262	5			
PG00124	P00268	10			
PG00125	P00270	4			
PG00126	P00283	8			
PG00127	P00284	5			
PG00128	P00286	5			
PG00129	P00288	5			
PG00130	P00290	3			
PG00130b	P00290	4			
PG00131	P00291	5			
PG00132	P00292	5			
PG00134	P00299	3			
PG00136	P00302	6			
PG00137	P00303	5			
PG00139	P00306	5			
PG00140	P00308	3			
PG00143	P00314	7			
PG00144	P00318	5			
PG00144b	P00318	2			
PG00146	P00320	5			
PG00148	P00322	4			
PG00149	P00323	4			
PG00150	P00326	2			
PG00151	P00330	9			
PG00152	P00332	3			
PG00153	P00333	7			
PG00154	P00337	5			
PG00155	P00338	2			
PG00156	P00343	9			
PG00156b	P00343	2			
PG00157	P00347	4			
PG00158	P00349	5			
PG00160	P00352	4			
PG00163	P00358	8			
PG00164	P00359	4			
PG00165	P00361	2			
PG00166	P00363	5			
PG00167	P00364	9			
PG00168	P00365	5			
PG00169	P00366	4			
PG00170	P00367	4			
PG00171	P00368	5			
PG00172	P00370	9			
PG00173	P00371	4			
PG00174	P00381	5			
PG00176	P00384	3			
PG00177	P00386	6			
PG00179	P00388	2			
PG00180	P00390	5			
PG00181	P00391	3			
PG00182	P00393	4			
PG00184	P00397	8			
PG00185	P00401	7			
PG00188	P00410	2			
PG00189	P00411	6			
PG00189b	P00411	7			
PG00191	P00415	4			
PG00192	P00417	7			
PG00192b	P00417	3			
PG00194	P00419	8			
PG00195	P00420	2			
PG00196	P00424	3			
PG00197	P00425	3			
PG00198	P00430	5			
PG00199	P00432	2			
PG00200	P00433	4			
PG00201	P00436	7			
PG00202	P00437	5			
PG00203	P00440	5			
PG00204	P00441	5			
PG00206	P00443	3			
PG00207	P00444	5			
PG00208	P00446	4			
PG00209	P00447;Q9ORPH5	5			
PG00210	P00448	4			
PG00211	P00453	4			
PG00212	P00454	5			
PG00213	P00455;Q9ORPH3	2			
PG00214	P00457	2			
PG00215	P00458	5			
PG00216	P00461	9			
PG00217	P00462	4			
PG00218	P00463	7			
PG00219	P00464	7			
PG00220	P00465	4			
PG00221	P00468	6			
PG00222	P00470	6			
PG00223	P00471	4			
PG00225	P00477	4			
PG00226	P00478	4			
PG00226b	P00478	12			
PG00227	P00479	2			
PG00229	P00483	2			
PG00230	P00485	2			
PG00231	P00492	5			
PG00232	P00494	8			
PG00234	P00503	7			
PG00235	P00504	4			
PG00236	P00505	4			
PG00237	P00508	10			
PG00238	P00512	2			
