group_id	prot_Ctrl_t0_r1	prot_Ctrl_t0_r2	prot_Ctrl_t0_r3	prot_Ctrl_t6_r1	prot_Ctrl_t6_r2	prot_Ctrl_t6_r3	prot_Ctrl_t24_r1	prot_Ctrl_t24_r2	prot_Ctrl_t24_r3	prot_Ctrl_t48_r1	prot_Ctrl_t48_r2	prot_Ctrl_t48_r3	prot_Trt_t0_r1	prot_Trt_t0_r2	prot_Trt_t0_r3	prot_Trt_t6_r1	prot_Trt_t6_r2	prot_Trt_t6_r3	prot_Trt_t24_r1	prot_Trt_t24_r2	prot_Trt_t24_r3	prot_Trt_t48_r1	prot_Trt_t48_r2	prot_Trt_t48_r3
PG00002	obs	obs	MAR	MNAR	MNAR	MNAR	MAR	MAR	obs	obs	obs	MAR	MNAR	MNAR	MNAR	obs	obs	obs	obs	MAR	obs	obs	MAR	MAR
PG00004	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	MAR	MAR	obs	obs	MAR	obs	obs	obs	obs	obs	obs	obs	obs
PG00005	obs	obs	MAR	MNAR	MNAR	MNAR	obs	MAR	MAR	obs	obs	MAR	MNAR	MNAR	MNAR	MAR	obs	MAR	MNAR	MNAR	MNAR	MNAR	MNAR	MNAR
PG00006	obs	obs	obs	obs	obs	obs	obs	obs	obs	MAR	obs	obs	obs	obs	MAR	obs	obs	obs	obs	obs	MAR	obs	obs	MAR
PG00007	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	MAR	obs	obs	obs	obs	obs	obs
PG00008	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs
PG00009	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs
PG00010	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	MAR	obs	obs	obs	obs	MAR	obs	obs	obs	obs	obs	obs
PG00012	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	MAR	obs	obs	obs	obs	obs
PG00013	obs	obs	obs	obs	MAR	obs	obs	obs	obs	obs	obs	obs	MAR	obs	obs	obs	obs	obs	obs	obs	MAR	obs	MAR	obs
PG00014	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs	obs
