group_id	prot_Ctrl_t0_r1	prot_Ctrl_t0_r2	prot_Ctrl_t0_r3	prot_Ctrl_t6_r1	prot_Ctrl_t6_r2	prot_Ctrl_t6_r3	prot_Ctrl_t24_r1	prot_Ctrl_t24_r2	prot_Ctrl_t24_r3	prot_Ctrl_t48_r1	prot_Ctrl_t48_r2	prot_Ctrl_t48_r3	prot_Trt_t0_r1	prot_Trt_t0_r2	prot_Trt_t0_r3	prot_Trt_t6_r1	prot_Trt_t6_r2	prot_Trt_t6_r3	prot_Trt_t24_r1	prot_Trt_t24_r2	prot_Trt_t24_r3	prot_Trt_t48_r1	prot_Trt_t48_r2	prot_Trt_t48_r3
PG00002	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0
PG00004	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1
PG00005	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PG00006	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0
PG00007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
PG00008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PG00009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PG00010	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
PG00012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
PG00013	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1
PG00014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PG00015	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0
PG00016	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
PG00017	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1
PG00019	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
PG00020	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1
PG00021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
PG00022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
PG00023	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1
PG00024	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1
