sample_id	layer	treatment	time	time_f	rep	cell
rna_Ctrl_t0_r1	rna	Ctrl	0	0	1	Ctrl_t0
rna_Ctrl_t0_r2	rna	Ctrl	0	0	2	Ctrl_t0
rna_Ctrl_t0_r3	rna	Ctrl	0	0	3	Ctrl_t0
rna_Ctrl_t6_r1	rna	Ctrl	6	6	1	Ctrl_t6
rna_Ctrl_t6_r2	rna	Ctrl	6	6	2	Ctrl_t6
rna_Ctrl_t6_r3	rna	Ctrl	6	6	3	Ctrl_t6
rna_Ctrl_t24_r1	rna	Ctrl	24	24	1	Ctrl_t24
rna_Ctrl_t24_r2	rna	Ctrl	24	24	2	Ctrl_t24
rna_Ctrl_t24_r3	rna	Ctrl	24	24	3	Ctrl_t24
rna_Ctrl_t48_r1	rna	Ctrl	48	48	1	Ctrl_t48
rna_Ctrl_t48_r2	rna	Ctrl	48	48	2	Ctrl_t48
rna_Ctrl_t48_r3	rna	Ctrl	48	48	3	Ctrl_t48
rna_Trt_t0_r1	rna	Trt	0	0	1	Trt_t0
rna_Trt_t0_r2	rna	Trt	0	0	2	Trt_t0
rna_Trt_t0_r3	rna	Trt	0	0	3	Trt_t0
rna_Trt_t6_r1	rna	Trt	6	6	1	Trt_t6
rna_Trt_t6_r2	rna	Trt	6	6	2	Trt_t6
rna_Trt_t6_r3	rna	Trt	6	6	3	Trt_t6
rna_Trt_t24_r1	rna	Trt	24	24	1	Trt_t24
rna_Trt_t24_r2	rna	Trt	24	24	2	Trt_t24
rna_Trt_t24_r3	rna	Trt	24	24	3	Trt_t24
rna_Trt_t48_r1	rna	Trt	48	48	1	Trt_t48
rna_Trt_t48_r2	rna	Trt	48	48	2	Trt_t48
rna_Trt_t48_r3	rna	Trt	48	48	3	Trt_t48
