gene_id	rna_Ctrl_t0_r1	rna_Ctrl_t0_r2	rna_Ctrl_t0_r3	rna_Ctrl_t6_r1	rna_Ctrl_t6_r2	rna_Ctrl_t6_r3	rna_Ctrl_t24_r1	rna_Ctrl_t24_r2	rna_Ctrl_t24_r3	rna_Ctrl_t48_r1	rna_Ctrl_t48_r2	rna_Ctrl_t48_r3	rna_Trt_t0_r1	rna_Trt_t0_r2	rna_Trt_t0_r3	rna_Trt_t6_r1	rna_Trt_t6_r2	rna_Trt_t6_r3	rna_Trt_t24_r1	rna_Trt_t24_r2	rna_Trt_t24_r3	rna_Trt_t48_r1	rna_Trt_t48_r2	rna_Trt_t48_r3
ENSG00000001	5.78362052464446	5.89651915577133	5.99961747238002	5.17192582956159	5.86779971577314	5.88392362072727	5.48525599604096	6.01883056256437	5.54233890287101	5.65577950475179	5.50400151260272	5.44645884607644	5.49818217577655	5.99683559795282	5.79286116035036	3.27117854517315	3.19939161355768	3.01169964408204	2.85749641307388	2.89052958476781	2.59796550858638	3.71871000825777	4.31537850500319	4.00568050455184
ENSG00000002	5.04788251386262	5.31477453816929	5.38769306366981	5.07158440946121	4.81665763052792	4.85069414983001	4.97975564110622	4.9657764013205	4.27887643639069	5.14390397355838	5.00118035442188	4.81803034312433	5.16672996207557	5.11714368288153	5.66237183454968	4.84061835437157	4.84726442532717	4.7200213731083	4.70844088281801	5.2629407393944	4.67603958499546	4.8850629557808	4.80558577759931	4.67708277149253
ENSG00000003	3.07889779926458	3.08478150656666	2.67932478381949	3.05222127447995	2.76904028510573	3.39189559835295	2.83866510603572	2.74766184453347	2.54911402283477	2.90470203308562	2.8554855794556	2.6965248981114	2.78194613450467	2.37678389414081	2.51057859096135	3.15816202208447	2.25386357116346	2.69222237088485	2.77626766226707	2.46929319783829	3.12903746599649	2.97545103688643	2.58593742324897	3.45313201756606
ENSG00000004	1.51775680822408	2.31786462731302	2.41243711726311	1.81969277849465	2.37816051404253	2.45446121107873	2.07783522194144	1.65551409085572	2.35938366895818	2.55464475070085	2.65508320936547	2.03316408150605	2.33348822590864	1.90847473419153	2.15378851210552	2.54745999305232	1.81929992133054	2.73624542113827	2.19195607915	1.65960576221374	2.40901015900837	2.6581671428208	1.39948700081757	2.80550061798917
ENSG00000005	10.9795356051358	10.781415012967	11.0970860588257	10.9642008404308	11.2169758733263	10.8829003806903	11.2468768799451	11.1016790822388	10.7508652819371	11.1055344329676	10.6442680168489	10.9307738741295	11.0170526979847	10.6160621799935	10.889908941223	11.0734240347922	10.9227456004211	10.9414494779417	10.8932712741537	10.9634129855859	10.7493413230958	10.811350717882	10.8426914308519	11.0119395624882
ENSG00000006	3.86232812407396	3.60277536339643	3.75462740453496	3.41647379761907	3.0599066305103	3.03943691355942	2.58944481368347	2.42256314059242	2.70085256192587	2.26292177919623	2.7496379291755	2.18125886219961	3.36233269772769	4.71417691853446	3.78544689817349	3.3819152862718	3.29000341579628	2.9128646302403	2.46247577114081	2.40254863036279	2.71485856213388	2.38997051243197	2.30907035952166	1.74389633454404
ENSG00000007	5.89656660659596	6.05070040042087	6.39535794839984	5.59571495925201	5.57417466174849	6.10595557680022	5.82194911050433	5.88942452003453	5.66430249031284	5.81334443818608	5.89695422780921	6.04332618733224	5.59232321586888	5.71238952535924	5.86633509752203	5.80724810832689	5.87054747993209	6.22659158864333	5.75141448024558	5.61766309750475	5.90092197540967	5.9970649578863	5.56983725623758	5.98505267644172
ENSG00000008	3.37801262725928	3.08478150656666	3.35784362322684	3.31075619848367	3.23051101578443	2.92622414773037	3.35435169337928	3.42090159745467	2.43829431900561	3.29798371379853	2.64527775155125	2.60505748653311	3.17458159952366	3.51125229914475	3.48440254697616	3.27117854517315	3.26042734369326	2.62356173228742	3.38154220985825	2.95016535364009	3.13667740592065	3.04261231658954	3.10391967701678	3.02520512704728
ENSG00000009	5.85919066660844	5.9519233774634	6.0554409302182	6.0545316289995	5.56260129433196	6.21039320708441	5.71171616738552	5.49687549547066	5.60139791446995	5.59286775751074	5.81950439292602	5.59648392345806	6.09053718913584	6.06628350935099	5.91848916221789	6.40879073949528	6.41534485528872	6.35273088100226	7.31530344970594	7.07050378152903	7.40528817138054	7.32510366314601	7.80178756558506	7.99257180226992
ENSG00000010	7.82594586035894	8.08108227253395	7.78101252639248	7.59609716220475	8.17886538451132	7.92502450967881	7.60648875743041	7.73691511205917	7.94477138950476	7.63019213036674	7.78227016084885	7.73011161317948	7.59621342950553	7.80749374848894	7.68834518316637	9.87565262281866	9.63518641185326	9.66787982974149	10.091664567126	10.2837522138212	10.3968452175848	10.4740475462571	9.88930262225718	10.3264865929532
