"uid","feature","block","cluster","comp","sign"
"rna__TraesCAD_scaffold_014747_01G000100","TraesCAD_scaffold_014747_01G000100","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_000382_01G000500","TraesCAD_scaffold_000382_01G000500","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_070076_01G000100","TraesCAD_scaffold_070076_01G000100","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_133124_01G000100","TraesCAD_scaffold_133124_01G000100","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_000030_01G000400","TraesCAD_scaffold_000030_01G000400","rna","C2-",2,"negative"
"rna__TraesCAD_scaffold_084164_01G000200","TraesCAD_scaffold_084164_01G000200","rna","C2-",2,"negative"
"rna__TraesCAD_scaffold_128978_01G000200","TraesCAD_scaffold_128978_01G000200","rna","C2-",2,"negative"
"rna__TraesCAD_scaffold_052789_01G000100","TraesCAD_scaffold_052789_01G000100","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_069519_01G000100","TraesCAD_scaffold_069519_01G000100","rna","C2-",2,"negative"
"rna__TraesCAD_scaffold_149528_01G000100","TraesCAD_scaffold_149528_01G000100","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_053566_01G000100","TraesCAD_scaffold_053566_01G000100","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_025968_01G000200","TraesCAD_scaffold_025968_01G000200","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_043544_01G000200","TraesCAD_scaffold_043544_01G000200","rna","C1+",1,"positive"
"rna__TraesCAD_scaffold_055571_01G000300","TraesCAD_scaffold_055571_01G000300","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_042728_01G000100","TraesCAD_scaffold_042728_01G000100","rna","C2-",2,"negative"
"rna__TraesCAD_scaffold_030935_01G000600","TraesCAD_scaffold_030935_01G000600","rna","C1-",1,"negative"
"rna__TraesCAD_scaffold_011238_01G000100","TraesCAD_scaffold_011238_01G000100","rna","C1-",1,"negative"
