"uid","feature","block","cluster","comp","sign"
"rna__TraesNOR2B03G01065540","TraesNOR2B03G01065540","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01297730","TraesNOR2D03G01297730","rna","C2+",2,"positive"
"rna__TraesNOR7D03G04390680","TraesNOR7D03G04390680","rna","C2+",2,"positive"
"rna__TraesNORUn03G04571730","TraesNORUn03G04571730","rna","C2+",2,"positive"
"rna__TraesNOR4D03G02563300","TraesNOR4D03G02563300","rna","C1+",1,"positive"
"rna__TraesNOR7B03G04214550","TraesNOR7B03G04214550","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01291910","TraesNOR2D03G01291910","rna","C1+",1,"positive"
"rna__TraesNOR3B03G01810810","TraesNOR3B03G01810810","rna","C2+",2,"positive"
"rna__TraesNOR7D03G04451350","TraesNOR7D03G04451350","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01316150","TraesNOR2D03G01316150","rna","C2+",2,"positive"
"rna__TraesNOR3D03G02024780","TraesNOR3D03G02024780","rna","C2+",2,"positive"
"rna__TraesNOR4B03G02251620","TraesNOR4B03G02251620","rna","C1+",1,"positive"
"rna__TraesNOR1A03G00098990","TraesNOR1A03G00098990","rna","C2+",2,"positive"
"rna__TraesNOR3D03G02008900","TraesNOR3D03G02008900","rna","C2+",2,"positive"
"rna__TraesNOR6B03G03469750","TraesNOR6B03G03469750","rna","C1+",1,"positive"
"rna__TraesNOR2A03G00594550","TraesNOR2A03G00594550","rna","C2+",2,"positive"
"rna__TraesNOR6D03G03685650","TraesNOR6D03G03685650","rna","C2+",2,"positive"
"rna__TraesNOR1D03G00501630","TraesNOR1D03G00501630","rna","C2+",2,"positive"
"rna__TraesNOR2A03G00594610","TraesNOR2A03G00594610","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01108180","TraesNOR2D03G01108180","rna","C2+",2,"positive"
"rna__TraesNOR2A03G00594530","TraesNOR2A03G00594530","rna","C2+",2,"positive"
"rna__TraesNOR3A03G01356380","TraesNOR3A03G01356380","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01236240","TraesNOR2D03G01236240","rna","C2+",2,"positive"
"rna__TraesNOR3B03G01628280","TraesNOR3B03G01628280","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01117370","TraesNOR2D03G01117370","rna","C1-",1,"negative"
"rna__TraesNOR2A03G00620670","TraesNOR2A03G00620670","rna","C2+",2,"positive"
"rna__TraesNOR1D03G00522660","TraesNOR1D03G00522660","rna","C2+",2,"positive"
"rna__TraesNOR2A03G00821930","TraesNOR2A03G00821930","rna","C2+",2,"positive"
"rna__TraesNOR3A03G01527950","TraesNOR3A03G01527950","rna","C2+",2,"positive"
"rna__TraesNOR5D03G03241070","TraesNOR5D03G03241070","rna","C2+",2,"positive"
"rna__TraesNOR5D03G03240950","TraesNOR5D03G03240950","rna","C2+",2,"positive"
"rna__TraesNOR6D03G03776730","TraesNOR6D03G03776730","rna","C2+",2,"positive"
"rna__TraesNOR3D03G01936640","TraesNOR3D03G01936640","rna","C2+",2,"positive"
"rna__TraesNOR5D03G03071820","TraesNOR5D03G03071820","rna","C2-",2,"negative"
"rna__TraesNOR4D03G02432790","TraesNOR4D03G02432790","rna","C2-",2,"negative"
"rna__TraesNOR2D03G01279150","TraesNOR2D03G01279150","rna","C2+",2,"positive"
"rna__TraesNOR3A03G01344960","TraesNOR3A03G01344960","rna","C2+",2,"positive"
"rna__TraesNOR6B03G03630990","TraesNOR6B03G03630990","rna","C2+",2,"positive"
"rna__TraesNOR6A03G03444530","TraesNOR6A03G03444530","rna","C2+",2,"positive"
"rna__TraesNOR2A03G00775050","TraesNOR2A03G00775050","rna","C2-",2,"negative"
"rna__TraesNOR7D03G04466700","TraesNOR7D03G04466700","rna","C2+",2,"positive"
"rna__TraesNOR3D03G02022770","TraesNOR3D03G02022770","rna","C2+",2,"positive"
"rna__TraesNOR7B03G04151230","TraesNOR7B03G04151230","rna","C2+",2,"positive"
"rna__TraesNOR1B03G00399870","TraesNOR1B03G00399870","rna","C2+",2,"positive"
"rna__TraesNOR3A03G01540710","TraesNOR3A03G01540710","rna","C2+",2,"positive"
"rna__TraesNOR2B03G01091350","TraesNOR2B03G01091350","rna","C2+",2,"positive"
"rna__TraesNOR6A03G03416340","TraesNOR6A03G03416340","rna","C2+",2,"positive"
"rna__TraesNOR6B03G03607860","TraesNOR6B03G03607860","rna","C1+",1,"positive"
"rna__TraesNOR4D03G02579840","TraesNOR4D03G02579840","rna","C2-",2,"negative"
"rna__TraesNOR3D03G01932690","TraesNOR3D03G01932690","rna","C2+",2,"positive"
"rna__TraesNOR1B03G00319580","TraesNOR1B03G00319580","rna","C1+",1,"positive"
"rna__TraesNOR7D03G04447470","TraesNOR7D03G04447470","rna","C1-",1,"negative"
"rna__TraesNOR7D03G04390710","TraesNOR7D03G04390710","rna","C2+",2,"positive"
"rna__TraesNOR2B03G00876790","TraesNOR2B03G00876790","rna","C2+",2,"positive"
"rna__TraesNOR6D03G03809720","TraesNOR6D03G03809720","rna","C2+",2,"positive"
"rna__TraesNOR5D03G03240710","TraesNOR5D03G03240710","rna","C2+",2,"positive"
"rna__TraesNOR4A03G02169150","TraesNOR4A03G02169150","rna","C1-",1,"negative"
"rna__TraesNOR2A03G00743380","TraesNOR2A03G00743380","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01265370","TraesNOR2D03G01265370","rna","C2+",2,"positive"
"rna__TraesNOR2D03G01131260","TraesNOR2D03G01131260","rna","C2+",2,"positive"
"rna__TraesNOR6A03G03434050","TraesNOR6A03G03434050","rna","C2-",2,"negative"
"rna__TraesNOR5A03G02758400","TraesNOR5A03G02758400","rna","C1-",1,"negative"
"rna__TraesNOR6B03G03471700","TraesNOR6B03G03471700","rna","C2+",2,"positive"
"rna__TraesNOR6A03G03378130","TraesNOR6A03G03378130","rna","C2+",2,"positive"
"rna__TraesNOR1A03G00175470","TraesNOR1A03G00175470","rna","C1+",1,"positive"
"rna__TraesNOR3D03G01998390","TraesNOR3D03G01998390","rna","C2+",2,"positive"
